id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,unit_stated,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
S001,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"224,787,773,988,054",2,"순자산액은 다음과 같습니다.  - 2025년 2월 18일: 236,396,657,259,591원 - 2024년 11월 18일: 224,787,773,988,054원  근거: report_id(major_20250218001596), report_id(major_20241118000328)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,1,정답,1,1,1,,answered,1,0,none,closed,lookup,,11.96,1245.7,5576.3,665.9,0.0,1096.7,96.9,1.1,0.3,2345.6,11960.1,931.7,1
S002,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"60,787,169,065,155",2,"현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 다음과 같습니다.  1. 2026년 1월 29일 공시 기준: 69,223,018,818,275원 2. 2024년 11월 27일 공시 기준: 60,787,169,065,155원  근거: report_id(major_20260129000336), report_id(major_20241127000199)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,8.98,228.2,268.6,358.7,0.0,5263.8,38.1,1.4,0.3,2848.7,8975.5,0.0,1
S003,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"44,798,302,492,788",1,"44,798,302,492,788원   근거: report_id(major_20240712000097)",1,1,1,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,1.0,1.0,자기주식취득금액한도,1,1,1,1,0,1,정답,1,1,1,,answered,1,0,none,closed,lookup,,4.05,605.9,420.0,384.1,0.0,1075.1,8.7,1.7,1.0,1556.0,4049.8,0.0,1
S004,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"23,823,475,847,161",4,"현대모비스의 주요사항보고서에 기재된 자기주식 취득금액 한도에 대해 다음과 같이 정리할 수 있습니다:  1. 2023년 7월 26일: 23,926,907,424,811원   2. 2024년 2월 16일: 23,823,475,847,161원   3. 2025년 2월 13일: 25,237,245,842,508원   4. 2025년 7월 25일: 26,908,231,862,701원    질문에 시점이 명시되지 않아 해당하는 공시를 모두 제시합니다.  근거: report_id(major_20230726000317), report_id(major_20240216001385), report_id(major_20250213001638), report_id(major_20250725000051)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.25,,4,1,1,1,0,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,10.24,725.6,371.7,356.6,0.0,4758.7,44.4,1.7,0.3,4016.5,10238.4,0.0,1
S005,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,,?,"5,296,200,000,000",3,"SK하이닉스의 신규시설투자등에 기재된 투자금액은 다음과 같습니다:  1. 2026년 2월 25일 공시: 21,608,100,000,000원 2. 2024년 7월 26일 공시: 9,411,500,000,000원 3. 2024년 4월 24일 공시: 5,296,200,000,000원  근거: exchange_20260225801974, exchange_20240726800615, exchange_20240424800596",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.3333,,3,1,1,1,0,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,4.66,778.4,434.5,334.6,0.0,583.5,36.2,5.9,0.1,2521.3,4660.4,0.0,1
S006,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,,?,"4,405,197,480,000",1,"자본금의 액: 4,405,197,480,000원   근거: report_id(major_20250814003240)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,1,정답,1,1,1,,answered,1,0,none,closed,lookup,,2.44,168.2,151.9,369.2,0.0,606.8,23.3,0.1,0.1,1139.5,2437.8,0.0,1
S007,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)",1,"삼성전자의 단일판매·공급계약 중 최대 계약금액은 22조 7,647억원(22,764,764,160,000원)이며, 이는 2025년 7월 31일에 공시되었습니다.   한미반도체의 단일판매·공급계약 중 최대 계약금액은 1,499억 1,900만원(149,919,000,000원)이며, 이는 2024년 6월 7일에 공시되었습니다.   비교 결과, 삼성전자의 최대 계약금액이 한미반도체의 최대 계약금액보다 큽니다.   근거: report_id(exchange_20250731800028), report_id(exchange_20240607800056)",0,0,0,compare_no_verdict,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,4,0,1,1,0,1,답변실패,1,1,1,,answered,1,0,none,closed,compare,,6.62,342.5,202.4,795.2,0.0,1793.5,98.4,4.3,0.3,3469.8,6620.8,0.0,2
S008,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)",1,"▶ LG에너지솔루션 계약금액 최대값: 9,603,075,000,000원 [report_id: exchange_20251217800853] ▶ 삼성SDI 계약금액 최대값: 437,429,850,083원 [report_id: exchange_20250314800002] ▶▶ 계약금액 비교 결과: LG에너지솔루션이 더 크다 (9,603,075,000,000원 vs 437,429,850,083원, 차이 9,165,645,149,917원) ▶▶ 단위 환산: LG에너지솔루션 9조 6,030억원(9,603,075,000,000원) / 삼성SDI 4,374억 2,985만원(437,429,850,083원)  따라서 LG에너지솔루션의 최대 계약금액은 9조 6,030억원이며, 삼성SDI의 최대 계약금액은 4,374억 2,985만원으로 LG에너지솔루션이 더 큽니다.  근거: report_id(exchange_20251217800853), report_id(exchange_20250314800002)",0,0,0,compare_no_verdict,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,6,0,1,1,0,1,답변실패,1,1,1,,answered,1,0,none,closed,compare,,40.14,703.9,290.8,732.6,0.1,2833.5,41.0,9.3,0.3,35558.8,40139.3,0.0,2
S009,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)",1,"▶ 현대로템 계약금액 최대값: 8,981,406,673,148원 [report_id: exchange_20250804800039] ▶ LIG디펜스앤에어로스페이스 계약금액 최대값: 4,339,821,003,649원 [report_id: exchange_20240207800065]  계약금액 비교 결과: 현대로템가 더 큽니다.  - 현대로템: 8,981,406,673,148원 - LIG디펜스앤에어로스페이스: 4,339,821,003,649원  따라서 최대 계약금액이 더 큰 기업은 현대로템입니다.  근거: report_id(exchange_20250804800039), report_id(exchange_20240207800065)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,1,정답,1,1,1,,answered,1,0,none,closed,compare,,15.55,498.8,669.4,127.3,0.1,10417.0,235.6,3.8,0.3,3830.3,15553.1,0.0,2
S010,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)",1,"▶ HD현대중공업 계약금액 최대값: 5,251,100,000,000원   ▶ 삼성중공업 계약금액 최대값: 4,571,600,000,000원    두 기업의 단일판매·공급계약 중 최대 계약금액은 HD현대중공업이 5,251,100,000,000원으로, 삼성중공업의 최대 계약금액인 4,571,600,000,000원보다 큽니다. 따라서 최대 계약금액이 더 큰 기업은 HD현대중공업입니다.  근거: exchange_20231026800085, exchange_20240402800735",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,1,정답,1,1,1,,answered,1,0,none,closed,compare,,16.24,1066.8,613.4,110.5,0.1,11087.6,271.9,3.4,0.3,3345.8,16242.2,0.0,2
