id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,unit_stated,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
S023,삼성E&A의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역이 있습니다.   다음은 삼성E&A의 단일판매ㆍ공급계약체결 공시의 정정 사항들입니다:  ### EVIDENCE 1 - **정정사유**: 계약금액, 종료일 변경 - **정정전**:   - 계약금액: 1,534,730,639,454원   - 종료일: 2024-06-25 - **정정후**:   - 계약금액: 1,719,659,644,816원   - 종료일: 2025-10-26  ### EVIDENCE 2 - **정정사유**: 계약기간 변경 - **정정전**:   - 종료일: 2025-09-30 - **정정후**:   - 종료일: -  ### EVIDENCE 3 - **정정사유**: 종료일 변경 - **정정전**:   - 종료일: 2026-01-29 - **정정후**:   - 종료일: 2026-07-29  ### EVIDENCE 4 - **정정사유**: 계약금액 변경 - **정정전**:   - 계약금액: 389,193,200,000원   - 매출액대비: 5.77% - **정정후**:   - 계약금액: 466,193,200,000원   - 매출액대비: 6.91%  ### EVIDENCE 5 - **정정사유**: 계약 종료일 변경 - **정정전**:   - 종",0,0,1,required_any,1,2,2,1.0,,0,0,11,1,0,10,0.0909,0.9091,0.0,,계약(수주)일자 / 계약금액 / 계약상대 / 대규모법인여부 / 시작일 / 종료일 / 체결계약명 / 최근매출액 / 판매공급계약구분 / 판매공급지역,12,0,1,0,0,0,정답,1,0,0,,answered,1,0,none,mixed,correction_diff,,23.82,1072.8,3928.0,169.3,0.1,5622.1,299.8,2.6,2.0,12069.4,23816.5,650.4,1
S024,현대건설의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정된 현대건설의 단일판매ㆍ공급계약체결 공시에 대해 아래와 같이 설명드립니다:  ### EVIDENCE 1 - **정정 사유**: 계약 금액 및 기간 변경 - **변경 사항**:   - 계약금액: 580,653,479,709원에서 837,286,000,000원으로 변경됨   - 매출액대비 비율: 3.21%에서 4.63%로 변경됨   - 계약기간: 2022-10-17부터 2026-10-31로 설정됨  ### EVIDENCE 2 - **정정 사유**: 변경계약 체결(공사금액, 공사기간) - **변경 사항**:   - 계약금액: 497,052,750,159원에서 920,797,500,000원으로 변경됨   - 매출액대비 비율: 2.93%에서 5.43%로 변경됨   - 계약기간: 실착공일 이후 40개월에서 46개월로 연장됨  ### EVIDENCE 3 - **정정 사유**: 계약금액 변경 - **변경 사항**:   - 계약금액: 3,072,243,348,055원에서 3,089,421,749,344원으로 소폭 증가함   - 매출액대비 비율: 14.46%에서 14.55%로 약간 상승함  ### EVIDENCE 4 - **정정 사유**: 계약금액 및 공기 반영 - **변",0,0,1,required_any,1,2,2,1.0,,0,0,11,2,0,9,0.1818,0.8182,0.0,,계약(수주)일자 / 계약상대 / 대규모법인여부 / 시작일 / 종료일 / 체결계약명 / 최근매출액 / 판매공급계약구분 / 판매공급지역,22,0,1,1,0,0,정답,1,0,0,,answered,1,0,none,mixed,correction_diff,,18.03,618.1,405.4,54.2,0.1,5518.0,477.7,1.1,0.8,11409.9,18024.9,0.0,1
S025,두산로보틱스의 주요사항보고서 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역은 **있습니다**. 아래는 두산로보틱스의 주요사항보고서(회사합병 결정) 공시 중 일부 정정 내용을 요약한 것입니다:  ### 최초 공시 (2024년 7월 11일): - 두산로보틱스는 두산밥캣과의 주식교환을 통해 두산밥캣을 완전히 모회사로 만들고, 두산밥캣을 완전자회사로 만드는 계획을 발표함.    ### 첫 번째 정정 (2024년 7월 15일): - 향후 회사구조개편 계획에 대한 내용이 추가됨. 두산로보틱스와 두산밥캣의 신속한 합병을 통해 협동로봇 사업 부문과 건설기계 사업 부문의 통합을 완성하려는 계획이 포함됨.  ### 최종 정정 (2024년 12월 10일): - 두산로보틱스가 두산에너빌리티와의 분할합병 계약을 해제하기로 결정함. 이는 주식시장의 변동성과 주식 매수 청구권의 대량 행사로 인해 거래 종결 가능성이 낮아졌기 때문임. 따라서 모든 분할합병 관련 절차가 중단되고 취소됨.  이와 같이 두산로보틱스의 주요사항보고서(회사합병 결정) 공시는 초기 계획 단계에서부터 최종적으로 분할합병 계약 해제까지의 과정을 거치며 여러 차례 정정되었습니다.  근거: major_20240715000355, major_20241210000312",0,0,0,required_any,1,3,0,0.0,"64,400,000,000 / 합의해제 / D20 Capital",0,0,0,0,0,0,,,0.1538,1.0,,0,0,1,1,0,,답변실패,1,1,0,,answered,1,0,none,mixed,correction_diff,,12.43,784.4,366.8,97.8,0.1,5679.3,0.0,0.8,0.0,5491.6,12425.8,5.0,1
S026,한화에어로스페이스의 주요사항보고서 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역이 있습니다. 한화에어로스페이스의 주요사항보고서(유상증자결정) 공시가 정정되었습니다.   다음은 최초 공시와 최종 정정본 사이의 차이점입니다:  1. **공정거래위원회 신고대상 여부**:     - 최초 공시에서는 ""미해당""이었으나, 정정 후에는 ""해당""으로 변경되었습니다. 이는 특수관계인이 유상증자에 참여하기로 결정했기 때문입니다.  2. **신주 발행가액**:    - 최초 공시에서는 예정발행가가 684,000원으로 설정되었으나, 최종 정정본에서는 확정발행가가 동일하게 684,000원으로 설정되었습니다. 다만, 예정발행가의 확정일이 2025년 06월 26일로 명시되었습니다.  3. **신주배정기준일**:    - 최초 공시에서는 신주배정기준일이 ""2025년 05월 23일 예정""으로 기재되었으나, 최종 정정본에서는 날짜가 삭제되고 ""2025년 05월 23일""로 확정되었습니다.  4. **기타 투자판단에 참고할 사항**:    - 최초 공시에서는 증권신고서 및 예비투자설명서가 ""2025년 03월 20일 제출 예정""이라고 기재되었으나, 최종 정정본에서는 이를 ""2025년 06월 27일 제출 예정""으로 변경하였습니다. 또한, 추가적인 정보로 인해 일부 ",0,0,1,required_any,1,2,2,1.0,,0,0,0,0,0,0,,,0.2,1.0,,1,0,1,1,0,0,정답,1,1,0,,answered,1,0,none,mixed,correction_diff,,13.91,633.6,581.1,72.0,0.1,5868.7,0.0,0.8,0.0,6750.6,13911.7,4.7,1
S027,삼성전자의 사업보고서(2023.12)와 사업보고서(2025.12)를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 2023년 사업보고서와 2025년 사업보고서 비교  #### 재무 지표 변화  1. **매출액**    - 2023년: 258조 9,350억 원    - 2025년: 334조 원 (연결 기준)  2. **영업이익**    - 2023년: 7조 566억 원    - 2025년: 44조 원 (연결 기준)  3. **부채 비율**    - 2023년: 25.4%    - 2025년: 29.9%  4. **자기자본 비율**    - 2023년: 79.8%    - 2025년: 77.0%  5. **ROE (Return on Equity)**    - 2023년: 4.3%    - 2025년: 10.8%  #### 사업 부문 변화  1. **핵심 제품**    - 2023년: 갤럭시 S23 시리즈, 갤럭시 Z 폴드5와 갤럭시 Z 플립5, Neo QLED TV, BESPOKE 라인업    - 2025년: Galaxy S25 시리즈, Galaxy Z 폴드7와 Galaxy Z 플립7, '비전 AI'  2. **반도체 사업**    - 2023년: HBM, DDR5, LPDDR5x 등 고부가가치 제품 확대    - 2025년: HBM4, DDR5 등 고부가가치 제품 ",0,0,0,required,1,4,0,0.0,"258,935,494 / 333,605,938 / 6,566,976 / 43,601,051",0,0,0,0,0,0,,,0.0,,,10,0,1,1,0,0,답변실패,0,0,0,258 / 566 / 9350,answered,1,0,none,open,compare,,22.7,971.6,502.7,243.6,0.2,11748.0,0.0,15.4,0.0,9208.3,22698.2,8.3,2
S028,SK하이닉스의 사업보고서(2023.12)와 사업보고서(2025.12)를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 핵심 사업 변화 분석  #### 2023년 12월 사업보고서 - **주력 생산제품**: DRAM, NAND Flash, MCP 등 메모리 반도체 제품 - **추가 사업 영역**: 시스템 LSI 분야의 CIS(CMOS Image Sensor) 사업 및 Foundry 사업 추진 - **다양한 사업 범위**: 반도체소자 제조 및 판매부터 부동산 임대업, 발전업, 건설업 등 다양한 분야에 걸쳐 있음  #### 2025년 12월 사업보고서 핵심 사업에 대한 구체적인 언급이 없으므로 이전 정보를 기반으로 추정할 수 밖에 없습니다. 따라서, 2023년의 핵심 사업이 동일하게 유지되었다고 가정할 수 있습니다.  ### 주요 재무지표 변화 분석  #### 매출액 - **2023년**: 27,639,997백만 원 - **2024년**: 55,736,287백만 원 - **2025년**: 86,852,117백만 원  #### 영업이익 - **2023년**: -4,672,124백만 원 - **2024년**: 21,331,452백만 원 - **2025년**: 44,007,409백만 원  #### 당기순이익 - **2023년**: -4,836,170백만 원 - **2024년**",0,0,0,required,1,4,0,0.0,"32,765,719 / 97,146,675 / 7,730,313 / 47,206,319",0,0,0,0,0,0,,,1.0,1.0,,12,0,1,1,0,0,답변실패,1,1,0,,answered,1,0,none,open,compare,,21.33,478.9,420.6,120.8,0.2,11462.6,0.0,11.2,0.0,8825.7,21324.9,4.8,2
S029,한미반도체의 사업보고서(2023.12)와 사업보고서(2025.12)를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 한미반도체 사업보고서 비교 분석  #### 1. 핵심 사업의 변화 - **2023년**: 글로벌 경기 침체와 반도체 산업 투자 위축에도 불구하고, 인공지능(AI) 투자 붐으로 인한 HBM 수요 증가로 창사 최대 수주를 기록함.     - **HBM 관련 수주**: SK하이닉스로부터 2023년 9월부터 누적 1,872억원 규모의 DUAL TC BONDER 수주     - **시장 전망**: HBM 시장은 2023년 약 40억 달러에서 연평균 52.5% 성장하여 2027년에는 약 330억 달러로 확대될 것으로 예상됨    - **2025년**: 구체적인 핵심 사업 변화에 대한 정보는 제공되지 않았습니다. 다만, 이전 기간 동안의 HBM 수요 증가 추세와 관련하여 지속적인 성장이 예상됨.  #### 2. 주요 재무 지표 변화 ##### (1) 손익계산서 주요 항목 | 항목 | 2023년 (제44기) | 2024년 (제45기) | 2025년 (제46기) | |------|------------------|------------------|------------------| | 매출액 (원) | 157,081,381,666 | 555,547,131,225 | ",0,0,0,required,1,4,0,0.0,"159,009 / 576,685 / 34,571 / 251,390",0,0,0,0,0,0,,,0.0,,,18,0,1,1,0,0,답변실패,0,0,0,105010000000 / 63045000000,answered,1,0,none,open,compare,,22.36,522.0,334.8,117.5,0.2,11403.0,0.0,9.2,0.0,9951.5,22356.9,18.7,2
S030,디앤디파마텍이 2025년에 실시한 자금조달 내역을 유형별로 정리해줘.,,?,,0,"디앤디파마텍이 2025년에 실시한 자금조달 내역은 다음과 같습니다.  ### 1. 전환사채권 발행결정 - **공시일:** 2025년 6월 11일 - **사채의 종류:** 전환사채 - **권면(전자등록)총액:** 34,326,120,000원 - **자금조달의 목적:**   - 운영자금: 19,650,000,000원   - 타법인 증권 취득자금: 14,676,120,000원    ### 2. 자본으로 인정되는 채무증권 발행결정 - **공시일:** 2025년 6월 11일 - **사채의 종류:** 전환사채 - **권면(전자등록)총액:** 34,326,120,000원 - **자금조달의 목적:**   - 운영자금: 19,650,000,000원   - 타법인 증권 취득자금: 14,676,120,000원  ### 3. 무상증자 결정 - **공시일:** 2025년 10월 29일 - **신주의 종류와 수:** 보통주식 32,568,957주 - **증자전 발행주식총수:** 보통주식 10,856,319주 - **신주배정기준일:** 2025년 11월 14일 - **신주의 상장 예정일:** 2025년 12월 5일  ### 4. 타법인 주식 및 출자증권 양수결정 - **공시일:** 2",0,0,1,required,1,3,3,1.0,,0,0,0,0,0,0,,,1.0,0.5,,5,0,1,1,0,0,정답,1,1,1,,answered,1,0,none,open,summarize,,14.65,843.0,455.5,353.8,0.1,3664.6,0.0,0.5,0.0,9322.1,14643.8,4.3,1
S031,한화오션이 2023년에 실시한 자금조달 내역을 유형별로 정리해줘.,,?,,0,"한화오션이 2023년에 실시한 자금조달 내역은 다음과 같습니다:  ### 유상증자 1. **2023년 5월 23일**:      - **목적**: 채무상환자금      - **금액**: 141,292,658,080원    2. **2023년 8월 23일**:      - **목적**: 시설자금, 운영자금, 타법인 증권취득자금      - **금액**: 시설자금 570,000,000,000원, 운영자금 207,092,415,000원, 타법인 증권취득자금 720,000,000,000원    ### 전환사채권 발행 1. **2023년 6월 1일**:      - **목적**: 기타자금      - **금액**: 48,057,256,181원    위의 정보는 각 공시 내용을 바탕으로 작성되었습니다.   근거: major_20231106000001, major_20230601000238, major_20230523000121, major_20231106000001, major_20230601000238, major_20230523000110, major_20230523000113",0,0,0,required,1,3,1,0.3333,"1,497,092,415,000 / 16,730",4,1,0,0,0,0,,,0.3846,1.0,,5,0,1,1,0,0,답변실패,1,1,1,,answered,1,0,none,open,summarize,,11.52,351.0,282.7,66.3,0.1,5835.2,0.0,1.0,0.0,4974.8,11520.0,9.1,1
S032,에스엠이 2023년에 실시한 자금조달 내역을 유형별로 정리해줘.,,?,,0,"에스엠의 2023년 자금조달 내역은 다음과 같습니다:  ### 1. 유상증자 - **공시일:** 2023년 2월 24일 - **목적:**    - 타법인 증권 취득자금: 111,930,000,000원 - **방식:** 제3자배정증자 - **발행 주식 수:** 보통주식 1,230,000주 - **1주당 액면가액:** 500원 - **신주 발행가액:** 보통주식 91,000원 - **납입일:** 2023년 3월 6일 - **신주 상장 예정일:** 2023년 3월 24일  ### 2. 유상증자 (추가 정보) - **공시일:** 2023년 3월 6일 - **정정 사유:** 신주 및 전환사채 발행금지 가처분 인용 결정에 따른 계약 해제 - **변경된 내용:** 모든 정보가 취소됨 (신주 및 전환사채 발행 금지에 따른 계약 해제로 인해 초기 계획이 무효화됨).  ### 3. 전환사채 발행 - **공시일:** 2023년 2월 7일 - **목적:**    - 타법인 증권 취득자금: 105,222,000,000원 - **사채의 종류:** 무기명식 무이권부 무보증 사모 전환사채 - **사채의 권면총액:** 105,222,000,000원 - **사채만기일:** 원래 2028년 ",0,0,1,required,1,4,4,1.0,,0,0,0,0,0,0,,,0.0,,,6,0,1,1,0,0,정답,0,0,0,100,answered,1,0,none,open,summarize,,14.32,523.8,457.9,327.3,0.1,3853.9,0.0,0.5,0.0,9143.1,14313.3,6.6,1
