id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec
G0001,LG에너지솔루션의 2025년 12월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,LG에너지솔루션,exchange,"2,060,100,000,000",1,"LG에너지솔루션의 2025년 12월 단일판매ㆍ공급계약체결에 기재된 계약금액은 다음과 같습니다:  - 2025년 12월 8일 공시: 2,060,100,000,000원 - 2025년 12월 17일 공시: 9,603,075,000,000원 - 2025년 12월 26일 공시: 4,082,377,000,000원  질문에 시점이 명시되지 않아 해당하는 공시를 모두 제시합니다.  근거: report_id(exchange_20251208800031), report_id(exchange_20251217800853), report_id(exchange_20251226800767)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.3333,,3,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,33.5
G0002,현대모비스의 2024년 02월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지적립된자본준비금과이익준비금의합계액은 얼마인가?,현대모비스,major,"1,039,681,611,644",1,"현대모비스의 2024년 02월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지 적립된 자본준비금과 이익준비금의 합계액은 **1,039,681,611,644원**입니다.  근거: report_id(major_20240216001385)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,11.54
G0003,삼성중공업의 2026년 02월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성중공업,exchange,17.0,1,매출액대비: 1.9%  근거: report_id(exchange_20260203800709),0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,1,0,1,1,0,답변실패,1,1,1,,answered,1,0,none,closed,lookup,,54.76
G0004,현대로템의 2024년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,현대로템,exchange,3.6,1,현대로템의 2024년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 6.5%입니다.  근거: FACT [report_id: exchange_20241029800525],0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,1,0,0,0,0,검색실패,1,1,1,,answered,1,0,none,closed,lookup,,52.79
G0005,한화오션의 2025년 02월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,한화오션,exchange,4.0,1,"한화오션의 2025년 02월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 다음과 같습니다.  - 2025년 02월 25일에 체결된 MCS Plant 구축 공사 계약의 매출액대비는 4.0%입니다.  - 2025년 02월 07일에 체결된 LNGC 2척 계약의 매출액대비는 9.9%입니다.  따라서, 2025년 02월에 체결된 단일판매ㆍ공급계약체결 중 MCS Plant 구축 공사 계약의 매출액대비는 4.0%, LNGC 2척 계약의 매출액대비는 9.9%입니다.  근거: exchange_20250225800348, exchange_20250210801035",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,55.38
G0006,삼성E&A의 2023년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,삼성E&A,exchange,"2,897,903,803,942",1,"삼성E&A의 2023년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 계약금액은 2,897,903,803,942원입니다.  근거: report_id(exchange_20231006800347)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,9.41
G0007,삼성중공업의 2023년 12월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성중공업,exchange,9.3,1,삼성중공업의 2023년 12월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 5.2%입니다.  근거: report_id(exchange_20231226800129),0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,1,0,0,0,0,검색실패,1,1,1,,answered,1,0,none,closed,lookup,,56.16
G0008,삼성E&A의 2024년 12월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성E&A,exchange,29.88,1,"삼성E&A의 2024년 12월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 다음과 같습니다:  - 2024년 12월 5일 공시: 3.32% - 2024년 12월 19일 공시: 16.67%  질문에 시점이 명시되지 않았으므로, 해당 날짜의 공시를 모두 제시합니다.  근거: report_id(exchange_20241205800252), report_id(exchange_20241219800267)",0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,2,0,0,0,0,검색실패,1,1,1,,answered,1,0,none,closed,lookup,,62.05
G0009,삼성E&A의 2025년 07월 [기재정정]단일판매ㆍ공급계약체결에 기재된 최근매출액은 얼마인가?,삼성E&A,exchange,"1,878,160,942,562",1,"최근매출액은 1,878,160,942,562원입니다.  근거: exchange_20250725800479::main::C1",1,1,1,value,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,9.2
G0010,크래프톤의 2023년 03월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지적립된자본준비금과이익준비금의합계액은 얼마인가?,크래프톤,major,"2,537,147,295,126",1,"직전사업연도까지 적립된 자본준비금과 이익준비금의 합계액은 2,537,147,295,126원입니다.  근거: report_id(major_20230328000635)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,63.67
G0011,한전기술의 2023년 04월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,한전기술,exchange,"25,605,030,000",1,"한전기술의 2023년 04월 단일판매ㆍ공급계약체결에 기재된 계약금액은 다음과 같습니다:  1. 2023년도 가동원전 계통설계 기술용역의 계약금액은 25,605,030,000원입니다. 2. 2023년도 가동원전 긴급지원 기술용역의 계약금액은 31,927,060,000원입니다.  따라서, 해당 기간 동안 체결된 계약들의 총 계약금액은 57,532,090,000원입니다.  근거: exchange_20230417800192, exchange_20230417800224",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,3,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,73.06
G0012,HD현대중공업의 2025년 09월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,HD현대중공업,exchange,"409,500,000,000",1,"질문하신 HD현대중공업의 2025년 09월 단일판매ㆍ공급계약체결에 기재된 계약금액은 409,500,000,000원입니다.  근거: report_id(exchange_20250908800058)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,73.33
G0013,메리츠금융지주의 2023년 03월 주요사항보고서(자기주식취득신탁계약체결결정)에 기재된 직전사업연도말이후자기주식취득금액은 얼마인가?,메리츠금융지주,major,"136,602",1,"메리츠금융지주의 2023년 03월 주요사항보고서에 기재된 직전사업연도말이후자기주식취득금액은 다음과 같습니다:  - 2023년 3월 17일 공시: 136,602 백만원 - 2023년 9월 21일 공시: 144,401 백만원  두 값 중 어떤 것이 더 정확한지는 명확하지 않으므로, 두 값을 모두 제시합니다.  근거: report_id(major_20230317000698), report_id(major_20230921000274)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,73.8
G0014,셀트리온의 2025년 09월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도말이후자기주식취득금액은 얼마인가?,셀트리온,major,"803,536,571,247",1,"직전사업연도말이후자기주식취득금액은 다음과 같습니다:  - 2025년 9월 17일: 803,536,571,247원 - 2025년 7월 21일: 671,906,623,127원 - 2025년 6월 26일: 571,838,768,647원 - 2025년 5월 28일: 471,770,232,195원 - 2025년 4월 28일: 340,672,713,100원 - 2025년 4월 3일: 245,186,546,630원 - 2025년 3월 21일: 636,936,855,907원 - 2025년 2월 19일: 535,069,570,177원  질문에 시점이 명시되지 않아 해당하는 공시를 모두 제시합니다.  근거: FACT(report_id: major_20250917000073, major_20250721000035, major_20250626000003, major_20250528000403, major_20250428000097, major_20250403000024, major_20250321000011, major_20250219000002)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.125,,8,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,41.62
G0015,OCI홀딩스의 2023년 09월 [기재정정]주요사항보고서(유상증자결정)에 기재된 산술평균D=(A+B+C)/3는 얼마인가?,OCI홀딩스,major,"141,238.2",1,"산술평균 $D$는 $\frac{A + B + C}{3}$로 계산되며, 여기서 $A$, $B$, $C$는 각각 다음과 같습니다:  - $A$: 2023년 08월 24일의 종가와 거래량을 이용해 계산된 가중산술평균주가 ($97,500 \times 75,848 = 7,326,865,700$) - $B$: 2023년 08월 25일의 종가와 거래량을 이용해 계산된 가중산술평균주가 ($95,800 \times 52,727 = 5,060,465,700$) - $C$: 2023년 08월 28일의 종가와 거래량을 이용해 계산된 가중산술평균주가 ($99,900 \times 109,710 = 10,786,308,800$)  이를 바탕으로 산술평균 $D$를 계산하면:  $$D = \frac{7,326,865,700 + 5,060,465,700 + 10,786,308,800}{3} = 141,238.2$$  따라서, OCI홀딩스의 2023년 09월 [기재정정]주요사항보고서(유상증자결정)에 기재된 산술평균 $D$는 141,238.2입니다.  근거: FACT 공시 표에서 직접 추출한 값 [report_id: major_20230921000281].",1,0,1,value,1,0,0,,,0,0,2,1,0,1,0.5,0.5,1.0,1.0,산술평균D=(A+B+C)/3,10,10,1,1,0,정답,1,1,1,,answered,1,0,none,closed,calculate,,16.22
G0016,한화오션의 2025년 11월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,한화오션,exchange,"757,700,000,000",1,"한화오션의 2025년 11월 단일판매ㆍ공급계약체결 중 하나의 계약금액은 757,700,000,000원입니다. 이는 2025년 11월 24일에 체결된 VLCC 4척 건에 해당합니다.  근거: report_id(exchange_20251124800090)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,88.78
G0017,현대건설의 2023년 09월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,현대건설,exchange,5.77,1,현대건설의 2023년 09월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 5.77%입니다.  근거: report_id(exchange_20230918800156),1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,81.78
G0018,한국항공우주의 2024년 03월 [기재정정]단일판매ㆍ공급계약체결에 기재된 최근매출액은 얼마인가?,한국항공우주,exchange,"2,786,023,511,399",1,"최근매출액은 2,786,023,511,399원입니다.  근거: exchange_20240326800001, exchange_20240326800003",1,1,1,value,1,0,0,,,0,0,0,0,0,0,,,1.0,0.5,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,37.96
G0019,셀트리온의 2023년 09월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,셀트리온,exchange,18.55,1,셀트리온의 2023년 09월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 18.55%입니다.  근거: FACT (셀트리온 / 셀트리온/단일판매ㆍ공급계약체결/(2023.09.25)단일판매ㆍ공급계약체결 / 20230925) [report_id: exchange_20230925800006],1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,87.72
G0020,대우건설의 2025년 11월 [기재정정]단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,대우건설,exchange,"707,892,655,000",1,"707,892,655,000   근거: FACT(exchange_20251121800001)",1,1,1,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,1.0,1.0,계약금액,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,76.65
G0021,대우건설의 2025년 07월 [기재정정]단일판매ㆍ공급계약체결에 기재된 최근매출액은 얼마인가?,대우건설,exchange,"8,136,705,736,642",1,"최근매출액은 8,685,207,679,669원입니다.  근거: exchange_20250730800107::main::C1",0,0,0,value,1,0,0,,,0,0,0,0,0,0,,,0.0,0.0,,1,0,1,1,0,답변실패,1,1,1,,answered,1,0,none,closed,lookup,,21.54
G0022,삼성바이오로직스의 2025년 11월 [기재정정]단일판매ㆍ공급계약체결에 기재된 최근매출액은 얼마인가?,삼성바이오로직스,exchange,"535,805,801,067",1,"최근매출액은 4,547,322,176,421원입니다.  근거: exchange_20251106800105::main::C1",0,0,0,value,1,0,0,,,0,0,0,0,0,0,,,0.0,0.0,,1,0,1,1,0,답변실패,1,1,1,,answered,1,0,none,closed,lookup,,74.69
