id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
G0001,LG에너지솔루션의 2025년 12월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,LG에너지솔루션,exchange,"2,060,100,000,000",1,"LG에너지솔루션의 2025년 12월 단일판매ㆍ공급계약체결에 기재된 계약금액은 다음과 같습니다:  1. 2025년 12월 8일 공시된 계약금액: 2,060,100,000,000원   2. 2025년 12월 17일 공시된 계약금액: 9,603,075,000,000원   3. 2025년 12월 26일 공시된 계약금액: 4,082,377,000,000원    질문에 시점이 명시되지 않아 해당하는 공시를 모두 제시합니다.   근거: report_id(exchange_20251208800031), report_id(exchange_20251217800853), report_id(exchange_20251226800767)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.3333,,3,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,8.75,763.6,2986.8,380.5,0.0,1046.0,52.0,0.1,0.2,3568.8,8752.0,0.0,1
G0002,현대모비스의 2024년 02월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지적립된자본준비금과이익준비금의합계액은 얼마인가?,현대모비스,major,"1,039,681,611,644",1,"현대모비스의 2024년 02월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지 적립된 자본준비금과 이익준비금의 합계액은 **1,039,681,611,644원**입니다.  근거: report_id(major_20240216001385)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,3.65,234.8,96.2,398.6,0.0,806.1,7.8,0.0,0.2,2113.4,3652.2,0.0,1
G0003,삼성중공업의 2026년 02월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성중공업,exchange,17.0,1,매출액대비: 1.9%  근거: report_id(exchange_20260203800709),0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,1,0,1,1,0,답변실패,1,1,1,,answered,1,0,none,closed,lookup,,1.93,207.4,80.2,391.0,0.0,242.2,43.7,0.0,0.1,1006.4,1929.1,0.0,1
G0004,현대로템의 2024년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,현대로템,exchange,3.6,1,현대로템의 2024년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 6.5%입니다.  근거: FACT [report_id(exchange_20241029800525)],0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,1,0,0,0,0,검색실패,1,1,1,,answered,1,0,none,closed,lookup,,2.59,173.6,71.2,382.7,0.0,364.8,40.8,0.1,0.1,1594.8,2589.7,0.0,1
G0005,한화오션의 2025년 02월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,한화오션,exchange,4.0,1,"한화오션의 2025년 02월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 다음과 같습니다:  - 2025년 02월 25일에 체결된 MCS Plant 구축 공사 계약의 매출액대비는 4.0%입니다. - 2025년 02월 10일에 체결된 LNGC 2척 계약의 매출액대비는 9.9%입니다.  따라서, 2025년 02월에 체결된 단일판매ㆍ공급계약체결 중 MCS Plant 구축 공사 계약의 매출액대비는 4.0%, LNGC 2척 계약의 매출액대비는 9.9%입니다.  근거:  - EVIDENCE 1 (exchange_20250225800348::main::C1) - EVIDENCE 2 (exchange_20250210801035::main::C1)  [추가 정보]:  - EVIDENCE 3 (exchange_20250428800105::main::C1) - EVIDENCE 4 (exchange_20251202800041::main::C1) - EVIDENCE 5 (exchange_20250401800363::main::C1) - EVIDENCE 6 (exchange_20251128800098::main::C1) - EVIDENCE 7 (exchange_2025011380035",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.125,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,8.37,225.9,77.5,368.2,0.0,1885.8,85.0,0.1,0.1,5806.7,8367.2,0.0,1
G0006,삼성E&A의 2023년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,삼성E&A,exchange,"2,897,903,803,942",1,"삼성E&A의 2023년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 계약금액은 2,897,903,803,942원입니다.  근거: report_id(exchange_20231006800347)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,3.49,205.2,74.7,382.4,0.0,1021.7,46.3,0.1,0.2,1804.9,3491.7,0.0,1
G0007,삼성중공업의 2023년 12월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성중공업,exchange,9.3,1,삼성중공업의 2023년 12월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 5.2%입니다.  근거: FACT [report_id: exchange_20231226800129],0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,1,0,0,0,0,검색실패,1,1,1,,answered,1,0,none,closed,lookup,,2.72,30.9,66.6,387.0,0.0,618.8,1.0,0.0,0.1,1613.4,2719.9,1.9,1
G0008,삼성E&A의 2024년 12월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성E&A,exchange,29.88,1,"삼성E&A의 2024년 12월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 다음과 같습니다:  - 2024년 12월 5일 공시: 3.32% - 2024년 12월 19일 공시: 16.67%  질문에 시점이 명시되지 않았으므로, 해당하는 공시를 모두 제시합니다.  근거: report_id(exchange_20241205800252), report_id(exchange_20241219800267)",0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,2,0,0,0,0,검색실패,1,1,1,,answered,1,0,none,closed,lookup,,5.39,33.7,68.2,387.0,0.0,886.4,7.5,0.1,0.2,4011.2,5390.3,0.0,1
G0009,삼성E&A의 2025년 07월 [기재정정]단일판매ㆍ공급계약체결에 기재된 최근매출액은 얼마인가?,삼성E&A,exchange,"1,878,160,942,562",1,"최근매출액은 1,878,160,942,562원입니다.  근거: exchange_20250725800479::main::C1",1,1,1,value,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,2.16,34.7,71.2,384.2,0.0,427.4,0.0,0.0,0.0,1237.3,2156.4,1.6,1
G0010,크래프톤의 2023년 03월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지적립된자본준비금과이익준비금의합계액은 얼마인가?,크래프톤,major,"2,537,147,295,126",1,"크래프톤의 2023년 03월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지 적립된 자본준비금과 이익준비금의 합계액은 2,537,147,295,126원입니다.  근거: report_id(major_20230328000635)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,3.54,210.9,78.2,391.2,0.0,748.7,21.1,0.1,0.2,2109.2,3540.9,0.0,1
G0011,한전기술의 2023년 04월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,한전기술,exchange,"25,605,030,000",1,"한전기술의 2023년 04월 단일판매ㆍ공급계약체결에 기재된 계약금액은 다음과 같습니다:  1. 2023년도 가동원전 계통설계 기술용역의 계약금액: 25,605,030,000원 2. 2023년도 가동원전 긴급지원 기술용역의 계약금액: 31,927,060,000원  따라서, 해당 날짜의 단일판매ㆍ공급계약체결에 기재된 계약금액은 위와 같이 두 가지가 있습니다.   근거: report_id(exchange_20230417800192), report_id(exchange_20230417800224)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,4.32,187.5,65.7,370.3,0.0,683.9,70.3,0.1,0.1,3009.2,4319.8,0.0,1
G0012,HD현대중공업의 2025년 09월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,HD현대중공업,exchange,"409,500,000,000",1,"질문하신 HD현대중공업의 2025년 09월 단일판매ㆍ공급계약체결에 기재된 계약금액은 409,500,000,000원입니다.  근거: report_id(exchange_20250908800058)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,3.62,216.1,68.1,374.6,0.0,1214.0,30.7,0.1,0.1,1743.0,3618.7,0.0,1
G0013,메리츠금융지주의 2023년 03월 주요사항보고서(자기주식취득신탁계약체결결정)에 기재된 직전사업연도말이후자기주식취득금액은 얼마인가?,메리츠금융지주,major,"136,602",1,"메리츠금융지주의 2023년 03월 주요사항보고서(자기주식취득신탁계약체결결정)에 기재된 직전사업연도말이후자기주식취득금액은 144,401백만 원입니다.  근거: report_id(major_20230921000274)",0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,1,0,1,1,0,답변실패,1,1,1,,answered,1,0,none,closed,lookup,,3.93,260.6,97.6,385.6,0.0,1083.1,26.3,0.1,0.2,2102.2,3931.9,0.0,1
