id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,unit_stated,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
S027,삼성전자의 사업보고서(2023.12)와 사업보고서(2025.12)를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 2023년 사업보고서 (제55기) 요약:  #### 재무상태: - **자산**: 455조 9,060억원 (+7조 4,815억원, +1.7%) - **부채**: 92조 2,281억원 (-1조 4,468억원, -1.5%) - **자본**: 363조 6,779억원 (+8조 9,283억원, +2.5%)  #### 영업실적: - **매출액**: 258조 9,349억원 (-43조 2,986억원, -14.3%) - **영업이익**: 6조 5,669억원 (-36조 8,065억원, -84.9%) - **당기순이익**: 15조 4,871억원 (-40조 1,667억원, -72.2%)  #### 사업 측면: - 갤럭시 S23 시리즈, Z 폴드5/Z 플립5 출시 - HBM, DDR5 등 고부가가치 제품 확대  ---  ### 2025년 사업보고서 (제57기) 요약:  #### 재무상태: - **부채비율**: 29.9% - **자기자본비율**: 77.0%  #### 영업실적: - **매출액**: 334조원 - **영업이익**: 44조원  #### 사업 측면: - Galaxy S25 시리즈, Z 폴드7/Z 플립7 출시 - Vision AI 통한 개인화된 디스플레이 경험 제공 -",0,0,0,required,1,4,0,0.0,"258,935,494 / 333,605,938 / 6,566,976 / 43,601,051",0,0,0,0,0,0,,,0.0,,,24,0,1,1,0,1,답변실패,0,0,0,258 / 5669 / 9349,answered,1,0,none,open,compare,,31.6,1486.6,5891.4,278.7,0.2,10853.5,0.0,13.7,0.0,12192.1,31599.8,883.5,2
S028,SK하이닉스의 사업보고서(2023.12)와 사업보고서(2025.12)를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 핵심 사업의 변화  2023년 12월 사업보고서에 따르면, SK하이닉스는 주로 DRAM, NAND Flash 및 MCP와 같은 메모리 반도체 제품을 중심으로 사업을 운영하고 있으며, 추가로 시스템 LSI 분야의 CIS(CMOS Image Sensor) 사업 및 Foundry 사업을 추진하고 있다고 명시되어 있습니다.  2025년 12월 사업보고서에서는 구체적인 사업 내용에 대한 정보가 제공되지 않았습니다. 따라서, 2023년의 정보를 기반으로 할 때, SK하이닉스가 여전히 메모리 반도체 중심의 사업을 유지하고 있을 가능성이 높으며, 추가적인 사업 영역 확장에 대한 정보는 확인할 수 없었습니다.  ### 주요 재무지표의 변화  #### 자산 총계 - 2023년: 92,949,387원 - 2025년: 168,903,929원  #### 부채 총계 - 2023년: 38,431,065원 - 2025년: 51,585,367원  #### 자본 총계 - 2023년: 54,518,322원 - 2025년: 117,318,562원  #### 매출액 - 2023년: 27,639,997백만원 - 2025년: 86,852,117백만원  #### 영업이익 - 2023년: -4,",0,0,0,required,1,4,0,0.0,"32,765,719 / 97,146,675 / 7,730,313 / 47,206,319",0,0,0,0,0,0,,,1.0,1.0,,12,0,1,1,0,1,답변실패,1,1,0,,answered,1,0,none,open,compare,,20.91,633.6,520.5,117.7,0.1,10754.3,0.0,12.5,0.0,8856.4,20902.0,6.9,2
S029,한미반도체의 사업보고서(2023.12)와 사업보고서(2025.12)를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 한미반도체 사업보고서 비교 분석  #### 1. 2023년 12월 사업보고서 (제44기) - **핵심 사업**:    - 반도체 장비 제조 및 판매   - 주요 제품으로는 Vision Placement, EMI Shield, Laser Marking 등이 있음   - HBM 수요 증가로 인한 대규모 수주 성과    - **주요 재무지표**:   - **매출액**: 1,590억원   - **영업이익**: 346억원 (영업이익률 21.7%)   - **당기순이익**: 2,672억원 (당기순이익율 168%)  #### 2. 2025년 12월 사업보고서 (제46기) - **핵심 사업**:    - 반도체 장비 제조 및 판매 지속   - 구체적인 신규 사업 언급 없음  - **주요 재무지표**:   - **매출액**: 5,596억 8,040만원   - **영업이익**: 242억 3,657만원   - **당기순이익**: 208억 2,777만원  ### 변화 요약 1. **매출액**:     - 2023년 1,590억원 → 2025년 5,596억 8,040만원으로 대폭 증가     2. **영업이익**:     - 2023년 346억원 → 2025년 242억 3,",0,0,0,required,1,4,0,0.0,"159,009 / 576,685 / 34,571 / 251,390",0,0,0,0,0,0,,,1.0,1.0,,11,0,1,1,0,0,답변실패,0,1,0,208 / 242 / 2777 / 3657 / 5596,answered,1,0,none,open,compare,,20.47,405.9,265.2,117.2,0.1,10604.6,0.0,10.5,0.0,9058.9,20471.5,9.1,2
G0143,효성중공업의 분기보고서 (2026.03)에 기재된 주당액면가액은 얼마인가?,효성중공업,periodic,"5,000",1,"5,000원  근거: report_id(periodic_20260514001390)",1,1,1,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,1.0,1.0,주당액면가액,1,1,1,1,0,1,정답,1,1,0,,answered,1,0,none,closed,lookup,,8.02,596.2,312.6,119.0,0.1,5585.1,47.6,9.5,0.6,1385.1,8021.5,0.0,1
G0144,HD현대중공업의 사업보고서 (2024.12)에 기재된 공통자산은 얼마인가?,HD현대중공업,periodic,"5,607,111",1,"HD현대중공업의 사업보고서 (2024.12)에 기재된 공통자산은 5,607,111백만원입니다.  근거: report_id(periodic_20250318000897::main::P13::C12), report_id(periodic_20250318000897::main::P17::C1), [FACT]",1,0,1,value,1,0,0,,,0,0,2,2,0,0,1.0,0.0,1.0,1.0,,2,2,1,1,0,0,정답,1,1,0,,answered,1,0,none,closed,lookup,,8.46,410.1,234.9,93.1,0.1,5450.4,2059.8,8.9,0.6,2251.9,8461.3,0.0,1
G0145,미래에셋증권의 반기보고서 (2024.06)에 기재된 수익증권이자는 얼마인가?,미래에셋증권,periodic,"674,048,604",1,필수 항목(수익증권이자)을 공시 근거에서 확인할 수 없어 답변하지 않습니다.,0,0,0,value,1,0,0,,,0,0,2,1,0,1,0.5,0.5,0.0,,반기,0,0,1,0,1,,거부(근거있음),0,0,0,,abstention_gate,0,2,,closed,lookup,,16.71,275.2,513.1,193.8,0.2,15693.8,5401.5,18.2,1.4,,16712.8,0.0,3
G0146,세아베스틸지주의 분기보고서 (2025.03)에 기재된 미래임금상승률에대한보험수리적가정은 얼마인가?,세아베스틸지주,periodic,0.0430,1,미래임금상승률에대한보험수리적가정: 0.0430  근거: report_id(periodic_20250515002986),1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,0,정답,1,1,0,,answered,1,0,none,closed,lookup,,8.52,489.8,210.0,94.4,0.1,5379.3,28.3,8.6,0.8,2312.7,8514.6,0.0,1
G0147,KB금융의 반기보고서 (2025.06)에 기재된 KB금융지주는 얼마인가?,KB금융,periodic,"80,413",1,"KB금융의 반기보고서에 기재된 KB금융지주의 명칭은 ""주식회사 KB금융지주""입니다.   근거: report_id(periodic_20260324000827::main::P3::C5), report_id(periodic_20260324000827::main::P28::C1)",0,0,0,value,1,0,0,,,0,0,2,1,0,1,0.5,0.5,0.0,0.0,금융,0,0,1,1,0,0,답변실패,1,1,0,,answered,1,1,none,closed,lookup,,14.56,353.7,828.0,105.8,0.2,10826.5,7720.5,14.5,1.0,2413.4,14560.5,0.0,2
G0148,SK텔레콤의 분기보고서 (2023.03)에 기재된 리스부채는 얼마인가?,SK텔레콤,periodic,"(6,503)",1,"SK텔레콤의 분기보고서 (2023.03)에 기재된 리스부채는 6,503백만 원입니다.  근거: report_id(periodic_20230512000710)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,0,정답,1,1,0,,answered,1,0,none,closed,lookup,,8.62,744.5,374.2,70.5,0.1,5516.9,36.6,4.3,1.0,1887.3,8614.6,0.0,1
G0149,"기아의 분기보고서 (2026.03)에 기재된 특정금전신탁,특수관계자는 얼마인가?",기아,periodic,"150,000",1,"기아의 분기보고서 (2026.03)에 기재된 특정금전신탁, 특수관계자의 금액은 다음과 같습니다:  별도재무제표 기준: - 당분기말: 150,000 백만원 - 전기말: 150,000 백만원  연결재무제표 기준: - 당분기말: 150,000 백만원 - 전기말: 150,000 백만원  따라서, 기아의 분기보고서에 따르면 특정금전신탁, 특수관계자의 금액은 별도로나 연결로나 동일하게 150,000 백만원으로 기록되어 있습니다.  근거:  - 증거 1: 분기보고서 (2026.03), Section: III. 재무에 관한 사항 > 5. 재무제표 주석, 별도재무제표 - 증거 2: 분기보고서 (2026.03), Section: III. 재무에 관한 사항 > 3. 연결재무제표 주석, 연결재무제표 - 증거 3: 분기보고서 (2026.03), Section: III. 재무에 관한 사항 > 5. 재무제표 주석, 별도재무제표 - 증거 4: 분기보고서 (2026.03), Section: III. 재무에 관한 사항 > 5. 재무제표 주석, 별도재무제표",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,,,2,2,1,1,0,0,정답,1,0,0,,answered,1,0,none,closed,lookup,,12.46,316.8,160.6,74.4,0.1,5265.4,3611.7,8.2,1.1,6621.6,12458.8,0.0,1
