id,query,company,doc_group,gold,n_gold,answer,answer_hit,evidence_hit,citation_hit,refusal,label,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec
S001,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"224,787,773,988,054",1,"순자산액: 254,330,082,981,146 원   순자산액: 236,396,657,259,591 원   순자산액: 236,396,657,259,591 원   순자산액: 236,396,657,259,591 원   순자산액: 236,396,657,259,591 원   순자산액: 224,787,773,988,054 원    근거: report_id(major_20260318001062), report_id(major_20260129000003), report_id(major_20260107000715), report_id(major_20250708000011), report_id(major_20250218001596), report_id(major_20241118000328)",1,1,1,0,정답,answered,1,0,none,closed,lookup,,11.16
S002,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"60,787,169,065,155",1,"순자산액은 69,223,018,818,275원과 60,787,169,065,155원이 있습니다.   근거: report_id(major_20260129000336), report_id(major_20241127000199)",1,1,1,0,정답,answered,1,0,none,closed,lookup,,11.04
S003,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"44,798,302,492,788",1,"44,798,302,492,788원  근거: report_id(major_20240712000097)",1,1,1,0,정답,answered,1,0,none,closed,lookup,,5.04
S004,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"23,823,475,847,161",1,"현대모비스의 주요사항보고서에 기재된 자기주식 취득금액 한도에 대해 공시별로 정리해 드리겠습니다:  1. 2023년 7월 26일 공시: 23,926,907,424,811원   2. 2024년 2월 16일 공시: 23,823,475,847,161원   3. 2025년 2월 13일 공시: 25,237,245,842,508원   4. 2025년 7월 25일 공시: 26,908,231,862,701원    위의 값들은 각 공시일에 해당하는 자기주식 취득금액 한도를 나타냅니다.   근거: report_id(major_20230726000317, major_20240216001385, major_20250213001638, major_20250725000051)",1,1,1,0,정답,answered,1,0,none,closed,lookup,,14.26
S005,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,,?,"5,296,200,000,000",1,"투자금액(원)은 다음과 같습니다:  - 21,608,100,000,000 (2026년 2월 25일 공시) - 9,411,500,000,000 (2024년 7월 26일 공시) - 5,296,200,000,000 (2024년 4월 24일 공시)  근거: report_id(exchange_20260225801974), report_id(exchange_20240726800615), report_id(exchange_20240424800596)",1,1,1,0,정답,answered,1,0,none,closed,lookup,,13.93
S006,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,,?,"4,405,197,480,000",1,"자본금의 액: 4,405,197,480,000 원   근거: report_id(major_20250814003240)",1,1,1,0,정답,answered,1,0,none,closed,lookup,,11.12
S007,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)",1,"삼성전자의 단일판매·공급계약 중 최대 계약금액은 22,764,764,160,000원이고, 한미반도체의 단일판매·공급계약 중 최대 계약금액은 149,919,000,000원입니다. 따라서 최대 계약금액이 더 큰 기업은 삼성전자입니다.  근거: report_id(exchange_20250731800028), report_id(exchange_20240607800056)",0,1,1,0,답변실패,answered,1,0,none,closed,compare,,15.81
S008,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)",1,"LG에너지솔루션의 최대 계약금액은 9,603,075,000,000원이고, 삼성SDI의 최대 계약금액은 437,429,850,083원입니다. 따라서 더 큰 계약금액을 가진 기업은 LG에너지솔루션입니다.  근거: report_id(exchange_20251226800767), report_id(exchange_20251217800853), report_id(exchange_20251208800031), report_id(exchange_20250730800046), report_id(exchange_20250314800002)",0,1,1,0,답변실패,answered,1,0,none,closed,compare,,26.18
S009,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)",1,"현대로템의 단일판매·공급계약 중 최대 계약금액은 8,981,406,673,148원이며, 이는 ""미국 MBTA 전동차 사업 추가공급계약""에 해당합니다.   LIG디펜스앤에어로스페이스의 단일판매·공급계약 중 최대 계약금액은 1,559,345,454,545원이며, 이는 ""정지궤도 기상.우주기상 위성 시스템 및 본체개발""에 해당합니다.    두 기업의 최대 계약금액을 비교했을 때, LIG디펜스앤에어로스페이스의 계약금액이 더 큽니다.    근거:  - 현대로템/단일판매ㆍ공급계약체결/(2025.08.04)단일판매ㆍ공급계약체결(report_id: exchange_20250804800039) - LIG넥스원/단일판매ㆍ공급계약체결/(2025.12.24)단일판매ㆍ공급계약체결(report_id: exchange_20251224800405)",0,0,0,0,검색실패,answered,1,0,none,closed,compare,,11.99
S010,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)",1,"HD현대중공업과 삼성중공업 각각의 단일판매·공급계약 중 최대 계약금액은 다음과 같습니다:  - HD현대중공업의 최대 계약금액: 1,533,700,000,000원 (해상플랫폼 상부 구조물 1기, 2024년 1월 30일 공시) - 삼성중공업의 최대 계약금액: 554,183,300,000원 ([P4 Ph3(상서)]FAB동 마감공사, 2025년 12월 26일 공시)  따라서, 최대 계약금액이 더 큰 기업은 HD현대중공업입니다.  근거: EVIDENCE 1, EVIDENCE 10",0,0,0,0,검색실패,answered,1,0,none,closed,compare,,12.18
S011,"두산에너빌리티와 한전기술 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"두산에너빌리티 (두산에너빌리티 4,928,968,079,043 vs 한전기술 1,250,850,298,678)",1,"두산에너빌리티와 한전기술 각각의 단일판매·공급계약 중 최대 계약금액은 다음과 같습니다:  - 두산에너빌리티의 최대 계약금액: 4,928,968,079,043원 (Dukovany 5&6 NSSS Contract, 2025-12-15 공시) - 한전기술의 최대 계약금액: 373,449,426,066원 (체코 두코바니 5&6호기 원자로계통설계용역, 2025-12-24 공시)  따라서 최대 계약금액이 더 큰 기업은 두산에너빌리티입니다.  근거: report_id(exchange_20251216801147), report_id(exchange_20251224800396)",0,1,1,0,답변실패,answered,1,0,none,closed,compare,,22.11
S012,"현대건설과 삼성E&A 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대건설 (현대건설 4,390,170,544,000 vs 삼성E&A 2,897,903,803,942)",1,"현대건설과 삼성E&A 각각의 단일판매·공급계약 중 최대 계약금액은 다음과 같습니다:  - 현대건설의 최대 계약금액: 2,748,850,000,000원 (압구정아파트지구 특별계획구역2 재건축정비사업, 2026년 3월 30일 공시) - 삼성E&A의 최대 계약금액: 1,770,780,000,000원 (P5 Project, 2026년 3월 31일 공시)  두 기업의 최대 계약금액을 비교했을 때, 삼성E&A의 계약금액이 더 큽니다.  근거: report_id(exchange_20260330801083), report_id(exchange_20260331803154)",0,0,0,0,검색실패,answered,1,0,none,closed,compare,,10.75
S013,"현대글로비스와 HMM 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대글로비스 (현대글로비스 3,365,500,000,000 vs HMM 1,282,363,356,560)",1,"현대글로비스와 HMM 각각의 단일판매·공급계약 중 최대 계약금액은 다음과 같습니다:  - 현대글로비스: 3,365,500,000,000원 - HMM: 1,282,363,356,560원  따라서 최대 계약금액은 현대글로비스가 더 큽니다.  근거:  - 현대글로비스: [EVIDENCE 3], [EVIDENCE 7], [EVIDENCE 9], [FACT] - HMM: [EVIDENCE 2], [EVIDENCE 4], [EVIDENCE 6], [EVIDENCE 8], [FACT]",0,1,1,0,답변실패,answered,1,0,none,closed,compare,,18.11
S014,"삼성바이오로직스와 셀트리온 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성바이오로직스 (삼성바이오로직스 2,074,694,843,000 vs 셀트리온 423,600,000,000)",1,"삼성바이오로직스의 단일판매·공급계약 중 최대 계약금액은 1,110,278,292,000원이고, 셀트리온의 단일판매·공급계약 중 최대 계약금액은 423,600,000,000원입니다. 따라서 최대 계약금액이 더 큰 기업은 삼성바이오로직스입니다.  근거: EVIDENCE 1, EVIDENCE 6",0,1,1,0,답변실패,answered,1,0,none,closed,compare,,17.49
