id,query,company,gold,n_gold,answer,answer_hit,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,warnings,remediation,n_tool_calls,iterations,n_nudges,error,elapsed_sec
72,현대글로비스 단기대여금이(가) 어떻게 돼?,현대글로비스,"1,610,518",2,"현대글로비스의 단기대여금의 금액은 다음과 같이 변동되었습니다:  1. 2024-09 분기보고서: 2,191,852천원 2. 2025-12 사업보고서: 3,110,753천원 3. 2025-06 반기보고서: 2,734,882천원 4. 2025-03 분기보고서: 2,868,327천원 5. 2025-12 사업보고서(다른 부분): 3,110,754천원 6. 2026-03 분기보고서: 3,242,681천원 7. 2026-03 분기보고서(다른 부분): 3,110,753천원  위의 정보는 각 보고서별로 기재된 단기대여금의 금액을 나타냅니다.   근거:  - 2024-09 분기보고서: periodic_20241114002197::main::P16::C37 - 2025-12 사업보고서: periodic_20260318001205::main::P18::C35 - 2025-06 반기보고서: periodic_20250814002436::main::P16::C34 - 2025-03 분기보고서: periodic_20250317001025::main::P18::C32 - 2026-03 분기보고서: periodic_20260515000799::main::P16::C34, periodic_",0,0,0,0,검색실패,1,1,1,,,2,3,0,,27.67
119,SK하이닉스의 분기보고서 (2024.03)에서 미수금 알려줘,SK하이닉스,"288,624",2,제공된 근거로는 확인할 수 없습니다.,0,0,0,1,거부(검색실패),1,0,0,근거가 하나도 없다 — 검색이 전부 실패했거나 tool 결과가 비었다,,1,2,0,,5.12
90,현대모비스 장기보증금자산이(가) 어떻게 돼?,현대모비스,"122,363",2,"현대모비스의 장기보증금자산은 다음과 같이 공시되었습니다:  1. 2024년 3월 분기보고서에서는 101,636백만원이었습니다. 2. 2024년 9월 분기보고서에서는 132,494백만원이었습니다. 3. 2024년 6월 반기보고서에서는 132,494백만원이었습니다. 4. 2023년 12월 사업보고서에서는 137,521백만원이었습니다. 5. 2025년 3월 분기보고서에서는 135,639백만원이었습니다. 6. 2024년 12월 사업보고서에서는 135,180백만원이었습니다. 7. 2025년 6월 반기보고서에서는 138,672백만원이었습니다.  위의 값들은 각각의 공시일에 따라 달라진 장기보증금자산의 금액을 나타냅니다. 따라서 현대모비스의 장기보증금자산은 시간에 따라 변동되었으며, 가장 최근의 값은 2025년 6월 반기보고서의 138,672백만원입니다.  근거:  - 2024년 3월 분기보고서: periodic_20240516001455::main::P18::C4 - 2024년 9월 분기보고서: periodic_20241114001585::main::P16::C140 - 2024년 6월 반기보고서: periodic_20240814003103::main::P16::C14",1,1,1,0,정답,1,1,1,,,1,2,0,,23.82
93,LG씨엔에스 유보기한이(가) 어떻게 돼?,LG씨엔에스,2029-04-04,1,제공된 근거에서는 LG씨엔에스의 유보기한에 대한 정보를 찾을 수 없습니다. 따라서 이에 대해 확인할 수 없습니다.  근거: 없음,0,1,0,1,거부(근거있음),1,0,0,답변에 근거(report_id/chunk_id) 인용이 없음,재생성 1회차 기각(개선 없음): 각 수치 뒤에 근거의 report_id 를 그대로 적으세요.,1,2,0,,28.4
146,현대글로비스의 [기재정정]사업보고서 (2023.12)에서 기타비유동금융부채 알려줘,현대글로비스,"1,236,513,234",1,"현대글로비스의 [기재정정]사업보고서 (2023.12)에서 기타비유동금융부채는 다음과 같이 기재되어 있습니다:  - 당기: 1,236,513,234천원 - 전기: 1,301,353,381천원  기타비유동금융부채의 구성은 다음과 같습니다: - 비유동파생상품부채: 17,870,683천원 - 비유동장기미지급금(순액): 127,952,907천원 - 장기예수보증금: 889,306천원 - 비유동 리스부채: 1,083,580,088천원 - 당기손익인식지정금융부채: 6,220,250천원  또한, 전기에는 다음과 같은 구성이었습니다: - 비유동파생상품부채: 18,777,471천원 - 비유동장기미지급금(순액): 253,854,859천원 - 장기예수보증금: 1,536,939천원 - 비유동 리스부채: 1,027,184,112천원 - 당기손익인식지정금융부채: 0천원  근거: periodic_20240319000815(chunk_id: P17::C31, P45::C17, P45::C81, P19::C14, P23::C17)",1,1,1,0,정답,1,1,1,,,3,4,0,,65.02
46,시프트업 분기보고서 (2025.09) 기타포괄손익-공정가치측정비유동금융자산 얼마야?,시프트업,"13,636,809",1,,0,0,0,0,검색실패,0,0,0,,,0,0,0,"HCXError: HCX API 오류 429: {""status"":{""code"":""42901"",""message"":""Too many requests: rate exceeded. Check response headers for current limits and retry information.""},""result"":null}",33.69
43,"시프트업 분기보고서 (2025.09) 매입,공정가치측정,자산 얼마야?",시프트업,"73,135,089",1,"시프트업의 2025년 9월 분기보고서에 따르면, 매입, 공정가치측정, 자산의 금액은 73,619,035천원입니다.  근거: report_id(periodic_20251113001036), chunk_id(periodic_20251113001036::main::P18::C5)",0,1,1,0,답변실패,1,1,1,,,4,3,0,,18.88
194,삼성중공업의 반기보고서 (2023.06)에서 SC은행외2 알려줘,삼성중공업,"216,335",1,"삼성중공업의 반기보고서 (2023.06)에서 SC은행외2에 대한 정보는 다음과 같습니다:  SC은행외2는 '채무보증 및 이행보증' 항목에 해당하며, 약정한도는 216,335백만 원입니다.  근거: periodic_20230814002585::main::P18::C27",1,1,1,0,정답,1,1,1,,재생성 1회차 채택: 근거의 숫자를 다른 단위로 바꿔 쓰지 마세요. 근거에 적힌 표기를 글자 그대로 옮기세요. 문제가 된 표기: ['001'],1,2,0,,17.37
130,삼성중공업 사업보고서 (2023.12) 기타예금 얼마야?,삼성중공업,"568,834,396",2,"삼성중공업의 2023년 12월 사업보고서에 따르면 기타예금의 금액은 다음과 같습니다:  - 당기: 568,834,396천원 - 전기: 902,932,822천원  근거: report_id(periodic_20240315000850::main::P17::C26), report_id(periodic_20240315000850::main::P19::C22)",1,0,0,0,정답,1,1,1,,,2,3,0,,20.09
32,시프트업의 주요사항보고서(자기주식취득신탁계약체결결정)에서 직전사업연도까지적립된자본준비금과이익준비금의합계액 알려줘,시프트업,"533,717,737,644",1,"시프트업의 주요사항보고서(자기주식취득신탁계약체결결정)에서 직전사업연도까지 적립된 자본준비금과 이익준비금의 합계액은 다음과 같습니다.  1. 2023년 6월 10일 제출된 보고서 기준 금액: 533,717,737,644원 2. 2023년 5월 12일 제출된 보고서 기준 금액: 533,717,737,644원  질문에 시점이 명시되지 않아 해당되는 공시를 모두 제시하였습니다.  근거: major_20260310002972(C2), major_20250512000665(C2)",1,0,1,0,정답,1,1,1,,,1,2,0,,19.13
