id,query,company,gold,n_gold,evidence_hit,answer_ceiling,label,elapsed_sec
1,현대모비스 주요사항보고서(자기주식취득결정) 순자산액 얼마야?,현대모비스,"27,211,951,962,825",3,1,1,상한도달,5.433
2,현대모비스의 주요사항보고서(자기주식취득결정)에서 직전사업연도까지적립된자본준비금과이익준비금의합계액 알려줘,현대모비스,"927,076,099,325",3,1,1,상한도달,4.132
3,현대모비스 대통령령이정하는미실현이익이(가) 어떻게 돼?,현대모비스,"97,386,132,145",3,1,1,상한도달,3.618
4,현대모비스 주요사항보고서(자기주식취득결정) 소계 얼마야?,현대모비스,"25,696,393,126,355",3,1,1,상한도달,3.41
5,현대모비스의 주요사항보고서(자기주식취득결정)에서 직전사업연도말이후자기주식취득금액 알려줘,현대모비스,"162,989,550,770",3,1,1,상한도달,3.423
6,현대모비스 직전사업연도말이후정기주주총회에서결의된이익배당금액및관련이익준비금이(가) 어떻게 돼?,현대모비스,"316,206,358,200",3,0,0,검색실패,3.418
7,현대모비스 주요사항보고서(자기주식취득결정) 자기주식취득금액한도 얼마야?,현대모비스,"25,237,245,842,508",3,1,1,상한도달,3.407
8,셀트리온의 주요사항보고서(자기주식취득결정)에서 직전사업연도말이후자기주식취득금액 알려줘,셀트리온,"78,147,033,240",2,0,0,검색실패,3.39
9,셀트리온 자기주식취득금액한도이(가) 어떻게 돼?,셀트리온,"3,864,659,487,041",2,1,1,상한도달,3.386
10,현대모비스 주요사항보고서(자기주식취득결정) 직전사업연도말이후이사회에서결의된분기ㆍ중간배당금액및관련이익준비금 얼마야?,현대모비스,"90,012,617,000",2,1,1,상한도달,3.412
11,현대모비스의 주요사항보고서(자기주식취득결정)에서 직전사업연도말이후자기주식처분시처분주식의취득원가 알려줘,현대모비스,"110,061,242,123",2,1,1,상한도달,3.334
12,시프트업 자기주식취득금액한도이(가) 어떻게 돼?,시프트업,"203,164,629,040",2,1,1,상한도달,3.395
13,디앤디파마텍 주요사항보고서(무상증자결정) 보통주식 얼마야?,디앤디파마텍,"32,568,957",2,1,1,상한도달,3.649
14,LG씨엔에스의 주요사항보고서(유상증자결정)에서 보통주식 알려줘,LG씨엔에스,"9,688,595",2,1,1,상한도달,3.407
15,셀트리온 순자산액이(가) 어떻게 돼?,셀트리온,"17,040,573,155,434",1,0,0,검색실패,3.4
