id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
S001,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"224,787,773,988,054",2,"순자산액은 다음과 같습니다.  1. 236,396,657,259,591원 (2025년 2월 18일 공시) 2. 224,787,773,988,054원 (2024년 11월 18일 공시)  근거: report_id(major_20250218001596), report_id(major_20241118000328)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,7.67,932.6,1472.4,447.8,0.1,686.7,92.5,0.1,0.3,2096.7,7672.6,1943.6,1
S002,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"60,787,169,065,155",2,"현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 다음과 같습니다.  1. 2024년 11월 27일 공시: 60,787,169,065,155원 2. 2026년 1월 29일 공시: 69,223,018,818,275원  질문에 시점이 명시되지 않았으므로 해당되는 모든 공시의 순자산액을 제시하였습니다.  근거: report_id(major_20241127000199), report_id(major_20260129000336)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,6.48,203.8,92.6,434.2,0.1,3004.7,38.5,0.1,0.2,2743.8,6482.0,0.0,1
S003,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"44,798,302,492,788",1,"44,798,302,492,788  근거: report_id(major_20240712000097)",1,1,1,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,1.0,1.0,자기주식취득금액한도,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,2.59,255.2,95.0,432.4,0.0,544.5,19.7,0.1,0.2,1258.8,2588.7,0.0,1
S004,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"23,823,475,847,161",4,"현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도에 대해 공시별로 정리하면 다음과 같습니다:  1. 2023년 7월 26일 공시: 23,926,907,424,811원 2. 2024년 2월 16일 공시: 23,823,475,847,161원 3. 2025년 2월 13일 공시: 25,237,245,842,508원 4. 2025년 7월 25일 공시: 26,908,231,862,701원  질문에 시점이 명시되지 않았으므로 위 네 가지 값을 모두 제시합니다.  근거: report_id(major_20230726000317), report_id(major_20240216001385), report_id(major_20250213001638), report_id(major_20250725000051)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.25,,4,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,7.39,218.3,75.8,440.0,0.0,2607.5,6.0,0.1,0.2,4044.0,7388.1,0.0,1
S005,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,,?,"5,296,200,000,000",3,"SK하이닉스의 신규시설투자등에 기재된 투자금액은 다음과 같습니다:  1. 2026년 2월 25일 공시: 21,608,100,000,000원 2. 2024년 7월 26일 공시: 9,411,500,000,000원 3. 2024년 4월 24일 공시: 5,296,200,000,000원  근거: FACT(exchange_20260225801974), FACT(exchange_20240726800615), FACT(exchange_20240424800596)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.3333,,3,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,4.0,256.0,82.2,387.9,0.0,304.1,26.7,0.1,0.1,2967.1,3999.5,0.0,1
S006,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,,?,"4,405,197,480,000",1,"자본금의 액: 4,405,197,480,000 원   근거: report_id(major_20250814003240)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,2.15,228.7,81.4,437.1,0.0,291.0,20.2,0.1,0.1,1109.2,2149.3,0.0,1
S007,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)",1,"삼성전자의 단일판매·공급계약 중 최대 계약금액은 22,764,764,160,000원이며, 한미반도체의 단일판매·공급계약 중 최대 계약금액은 149,919,000,000원입니다. 따라서 최대 계약금액이 더 큰 기업은 삼성전자입니다.  근거: report_id(exchange_20250731800028), report_id(exchange_20240607800056)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,4.57,253.2,130.7,875.0,0.0,1000.5,56.1,0.1,0.2,2307.1,4570.9,0.0,2
S008,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)",1,"▶ LG에너지솔루션 계약금액 최대값: 9,603,075,000,000 [report_id: exchange_20251217800853] ▶ 삼성SDI 계약금액 최대값: 437,429,850,083 [report_id: exchange_20250314800002]  두 기업의 단일판매·공급계약 중 최대 계약금액은 LG에너지솔루션이 9,603,075,000,000원으로 더 큽니다.  근거: report_id(exchange_20251217800853), report_id(exchange_20250314800002)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,5.78,401.5,120.0,870.1,0.0,1548.6,52.8,0.1,0.3,2833.6,5777.9,0.0,2
S009,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)",1,"▶ 현대로템 계약금액 최대값: 8,981,406,673,148 [report_id: exchange_20250804800039] ▶ LIG디펜스앤에어로스페이스 계약금액 최대값: 4,339,821,003,649 [report_id: exchange_20240207800065]  현대로템의 최대 계약금액은 8,981,406,673,148원이며, LIG디펜스앤에어로스페이스의 최대 계약금액은 4,339,821,003,649원입니다. 따라서 최대 계약금액이 더 큰 기업은 현대로템입니다.  근거: FACT(report_id: exchange_20250804800039), FACT(report_id: exchange_20240207800065)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,40.53,365.9,112.4,91.3,0.1,6008.5,256.8,0.1,0.3,33947.5,40534.0,0.0,2
S010,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)",1,"▶ HD현대중공업 계약금액 최대값: 5,251,100,000,000 [report_id: exchange_20231026800085] ▶ 삼성중공업 계약금액 최대값: 4,571,600,000,000 [report_id: exchange_20240402800735]  HD현대중공업의 최대 계약금액은 5,251,100,000,000원이고, 삼성중공업의 최대 계약금액은 4,571,600,000,000원이므로, 더 큰 쪽은 HD현대중공업입니다.  근거: report_id(exchange_20231026800085), report_id(exchange_20240402800735)",0,0,0,compare_no_verdict,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,검색실패,1,1,1,,answered,1,0,none,closed,compare,,9.91,380.5,116.7,88.6,0.1,5958.9,218.2,0.1,0.3,3354.3,9907.6,0.0,2
