id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec
G0001,LG에너지솔루션의 2025년 12월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,LG에너지솔루션,exchange,"2,060,100,000,000",1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,계약금액,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0002,현대모비스의 2024년 02월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지적립된자본준비금과이익준비금의합계액은 얼마인가?,현대모비스,major,"1,039,681,611,644",1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,직전사업연도까지적립된자본준비금과이익준비금의합계액,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0003,삼성중공업의 2026년 02월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성중공업,exchange,17.0,1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,매출액대비,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0004,현대로템의 2024년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,현대로템,exchange,3.6,1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,매출액대비,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0005,한화오션의 2025년 02월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,한화오션,exchange,4.0,1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,매출액대비,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0006,삼성E&A의 2023년 10월 [기재정정]단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,삼성E&A,exchange,"2,897,903,803,942",1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,계약금액,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0007,삼성중공업의 2023년 12월 단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성중공업,exchange,9.3,1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,매출액대비,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0008,삼성E&A의 2024년 12월 [기재정정]단일판매ㆍ공급계약체결에 기재된 매출액대비는 얼마인가?,삼성E&A,exchange,29.88,1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,매출액대비,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0009,삼성E&A의 2025년 07월 [기재정정]단일판매ㆍ공급계약체결에 기재된 최근매출액은 얼마인가?,삼성E&A,exchange,"1,878,160,942,562",1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,0,0,0,0,,,0.0,,,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0010,크래프톤의 2023년 03월 주요사항보고서(자기주식취득결정)에 기재된 직전사업연도까지적립된자본준비금과이익준비금의합계액은 얼마인가?,크래프톤,major,"2,537,147,295,126",1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,직전사업연도까지적립된자본준비금과이익준비금의합계액,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0011,한전기술의 2023년 04월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,한전기술,exchange,"25,605,030,000",1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,계약금액,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
G0012,HD현대중공업의 2025년 09월 단일판매ㆍ공급계약체결에 기재된 계약금액은 얼마인가?,HD현대중공업,exchange,"409,500,000,000",1,제공된 DART 공시 근거에서는 확인되지 않습니다.,0,0,0,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,계약금액,0,0,0,0,1,거부(검색실패),0,0,0,,abstention_gate,0,2,,closed,lookup,,0.0
