id,n_asked,note,query,n_companies,n_cited_docs,covered,coverage,missing,foreign,n_foreign,unknown_ids,clean
M3-01,3,,"삼성전자, SK하이닉스, 삼성전기의 2024년 매출액을 각각 알려줘.",3,3,3,1.0,,,0,,1
M3-02,3,,"LG에너지솔루션, 삼성SDI, 에코프로비엠의 2024년 영업이익을 비교해줘.",3,0,0,0.0,LG에너지솔루션 / 삼성SDI / 에코프로비엠,,0,,0
M3-03,3,,"크래프톤, NC, 시프트업의 최근 사업보고서상 직원 수를 각각 알려줘.",3,2,2,0.6667,시프트업,,0,,0
M3-04,3,,"현대건설, 삼성E&A, 대우건설의 2024년 자산총계를 각각 알려줘.",3,1,1,0.3333,현대건설 / 삼성E&A,,0,,0
M3-05,3,,"HD현대중공업, 한화오션, 삼성중공업 중 2024년 매출액이 가장 큰 곳은?",3,0,0,0.0,HD현대중공업 / 한화오션 / 삼성중공업,,0,,0
M3-06,3,,"POSCO홀딩스, 현대제철, 세아베스틸지주의 2024년 부채총계를 각각 알려줘.",3,2,2,0.6667,세아베스틸지주,,0,,0
M3-07,3,,"하이브, 에스엠, JYP Ent의 2024년 매출액을 비교해줘.",3,3,3,1.0,,,0,,1
M3-08,3,,"NAVER, 카카오, LG씨엔에스의 2024년 영업이익을 각각 알려줘.",3,9,3,1.0,,,0,,1
M4-01,4,,"삼성전자, SK하이닉스, 삼성전기, 한미반도체의 2024년 매출액을 각각 알려줘.",4,4,4,1.0,,,0,,1
M4-02,4,,"KB금융, 신한지주, 하나금융지주, 우리금융지주의 2024년 자산총계를 비교해줘.",4,0,0,0.0,KB금융 / 신한지주 / 하나금융지주 / 우리금융지주,,0,,0
M4-03,4,,"삼성바이오로직스, 셀트리온, 알테오젠, 한미약품의 2024년 매출액을 각각 알려줘.",4,0,0,0.0,삼성바이오로직스 / 셀트리온 / 알테오젠 / 한미약품,,0,,0
M4-04,4,,"한화에어로스페이스, 현대로템, 한국항공우주, 두산에너빌리티 중 2024년 영업이익이 가장 큰 곳은?",4,4,4,1.0,,,0,,1
M4-05,4,,"아모레퍼시픽, LG생활건강, CJ제일제당, 이마트의 2024년 매출액을 비교해줘.",4,3,3,0.75,이마트,,0,,0
M4-06,4,,"하이브, 에스엠, JYP Ent, 와이지엔터테인먼트의 2024년 영업이익을 각각 알려줘.",4,5,2,0.5,JYP Ent / 와이지엔터테인먼트,,0,,0
M4-07,4,,"현대자동차, 기아, 현대모비스, 현대글로비스의 2024년 매출액을 각각 알려줘.",4,0,0,0.0,현대자동차 / 기아 / 현대모비스 / 현대글로비스,,0,,0
M4-08,4,,"SK텔레콤, LG유플러스, NAVER, 카카오의 2024년 영업이익을 비교해줘.",4,4,3,0.75,카카오,,0,,0
M5-01,5,,"삼성전자, SK하이닉스, 삼성전기, 한미반도체, LG이노텍의 2024년 매출액을 각각 알려줘.",5,4,4,0.8,LG이노텍,,0,,0
M5-02,5,,"삼성생명, KB금융, 신한지주, 하나금융지주, 우리금융지주의 2024년 매출액을 각각 알려줘.",5,12,4,0.8,우리금융지주,,0,,0
M5-03,5,,"삼성바이오로직스, 셀트리온, 알테오젠, 한미약품, 파마리서치의 2024년 영업이익을 각각 알려줘.",5,3,3,0.6,알테오젠 / 파마리서치,,0,,0
M6-01,6,,"삼성전자, SK하이닉스, 삼성전기, 한미반도체, LG이노텍, 삼성SDI의 2024년 자산총계를 각각 알려줘.",6,5,5,0.8333,한미반도체,,0,,0
M6-02,6,,"하이브, 에스엠, JYP Ent, 와이지엔터테인먼트, 크래프톤, NC의 2024년 매출액을 각각 알려줘.",6,0,0,0.0,하이브 / 에스엠 / JYP Ent / 와이지엔터테인먼트 / 크래프톤 / NC,,0,,0
M6-03,6,,"현대건설, 삼성E&A, 대우건설, 두산에너빌리티, 한전기술, 우리기술의 2024년 매출액을 각각 알려줘.",6,0,0,0.0,현대건설 / 삼성E&A / 대우건설 / 두산에너빌리티 / 한전기술 / 우리기술,,0,,0
MA-01,3,현대차=현대자동차,"현대차, 기아, 현대모비스의 2024년 매출액을 각각 알려줘.",3,0,0,0.0,현대자동차 / 기아 / 현대모비스,,0,,0
MA-02,3,KT=케이티,"KT, SK텔레콤, LG유플러스의 2024년 영업이익을 비교해줘.",3,3,3,1.0,,,0,,1
MA-03,3,엔씨소프트=NC,"엔씨소프트, 크래프톤, 시프트업의 2024년 매출액을 각각 알려줘.",3,0,0,0.0,NC / 크래프톤 / 시프트업,,0,,0
MA-04,3,삼성화재=삼성화재해상보험,"삼성화재, 삼성생명, KB금융의 2024년 자산총계를 각각 알려줘.",3,3,3,1.0,,,0,,1
MA-05,3,LIG넥스원=LIG디펜스앤에어로스페이스,"LIG넥스원, 한화에어로스페이스, 한국항공우주의 2024년 매출액을 각각 알려줘.",3,3,3,1.0,,,0,,1
MA-06,3,LS ELECTRIC=엘에스일렉트릭,"LS ELECTRIC, HD현대일렉트릭, 효성중공업의 2024년 영업이익을 각각 알려줘.",3,9,3,1.0,,,0,,1
