id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
S001,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"224,787,773,988,054",2,"순자산액은 다음과 같습니다.  - 2024년 11월 18일: 224,787,773,988,054원 - 2025년 2월 18일: 236,396,657,259,591원  근거: report_id(major_20250218001596), report_id(major_20241118000328)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,7.13,765.7,2848.7,451.5,0.0,848.5,39.3,0.1,0.2,2201.6,7126.6,0.0,1
S002,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"60,787,169,065,155",2,"순자산액은 다음과 같습니다.  - 2024년 11월 27일: 60,787,169,065,155원 - 2026년 1월 29일: 69,223,018,818,275원  근거: report_id(major_20241127000199), report_id(major_20260129000336)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,6.09,238.8,92.5,434.0,0.1,2984.9,8.0,0.0,0.2,2337.7,6090.6,0.0,1
S003,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"44,798,302,492,788",1,"44,798,302,492,788  근거: report_id(major_20240712000097)",1,1,1,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,1.0,1.0,자기주식취득금액한도,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,2.69,250.7,84.6,434.2,0.0,549.0,20.4,0.1,0.2,1367.7,2688.9,0.0,1
S004,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"23,823,475,847,161",4,"현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도는 다음과 같습니다:  - 2023년 7월 26일: 23,926,907,424,811원 - 2024년 2월 16일: 23,823,475,847,161원 - 2025년 2월 13일: 25,237,245,842,508원 - 2025년 7월 25일: 26,908,231,862,701원  근거: report_id(major_20230726000317, major_20240216001385, major_20250213001638, major_20250725000051)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.25,,4,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,6.93,225.2,72.8,437.5,0.0,2606.0,20.9,0.0,0.2,3585.9,6930.1,0.0,1
S005,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,,?,"5,296,200,000,000",3,"SK하이닉스의 신규시설투자등에 기재된 투자금액은 다음과 같습니다:  1. 2024년 4월 24일 공시: 5,296,200,000,000원 2. 2024년 7월 26일 공시: 9,411,500,000,000원 3. 2026년 2월 25일 공시: 21,608,100,000,000원  근거: report_id(exchange_20240424800596, exchange_20240726800615, exchange_20260225801974)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.3333,,3,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,3.72,227.4,81.1,383.9,0.0,306.1,31.7,0.0,0.1,2717.6,3718.1,0.0,1
S006,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,,?,"4,405,197,480,000",1,"자본금의 액: 4,405,197,480,000 원   근거: report_id(major_20250814003240)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,2.22,218.3,92.3,463.2,0.0,325.4,23.4,0.0,0.1,1116.9,2217.9,0.0,1
S007,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)",1,"삼성전자의 단일판매·공급계약 중 최대 계약금액은 22,764,764,160,000원이며, 한미반도체의 단일판매·공급계약 중 최대 계약금액은 149,919,000,000원입니다. 따라서 최대 계약금액이 더 큰 기업은 삼성전자입니다.  근거: report_id(exchange_20250731800028), report_id(exchange_20240607800056)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,14.8,321.9,133.0,924.1,0.0,1010.0,97.8,0.1,0.2,12407.5,14800.8,0.0,2
S008,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)",1,"▶ LG에너지솔루션 계약금액 최대값: 9,603,075,000,000 [report_id: exchange_20251217800853] ▶ 삼성SDI 계약금액 최대값: 437,429,850,083 [report_id: exchange_20250314800002]  두 기업의 단일판매·공급계약 중 최대 계약금액은 LG에너지솔루션이 9,603,075,000,000원으로 더 큽니다.  근거: report_id(exchange_20251217800853), report_id(exchange_20250314800002)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,5.94,418.1,118.3,907.1,0.0,1563.4,75.5,0.1,0.3,2928.1,5938.0,0.0,2
S009,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)",1,"▶ 현대로템 계약금액 최대값: 8,981,406,673,148 [report_id: exchange_20250804800039] ▶ LIG디펜스앤에어로스페이스 계약금액 최대값: 4,339,821,003,649 [report_id: exchange_20240207800065]  현대로템의 최대 계약금액은 8,981,406,673,148원이며, LIG디펜스앤에어로스페이스의 최대 계약금액은 4,339,821,003,649원입니다. 따라서 최대 계약금액이 더 큰 기업은 현대로템입니다.  근거: report_id(exchange_20250804800039), report_id(exchange_20240207800065)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,10.24,398.0,120.5,96.3,0.1,6040.8,227.7,0.1,0.3,3578.9,10242.0,0.0,2
S010,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)",1,"▶ HD현대중공업 계약금액 최대값: 5,251,100,000,000 [report_id: exchange_20231026800085] ▶ 삼성중공업 계약금액 최대값: 4,571,600,000,000 [report_id: exchange_20240402800735]  두 기업의 단일판매·공급계약 중 최대 계약금액은 HD현대중공업이 5,251,100,000,000원으로 더 큽니다.  근거: report_id(exchange_20231026800085), report_id(exchange_20240402800735)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,9.72,453.3,121.5,90.3,0.1,6033.0,279.6,0.1,0.3,3015.6,9723.2,0.0,2
S011,"두산에너빌리티와 한전기술 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"두산에너빌리티 (두산에너빌리티 4,928,968,079,043 vs 한전기술 1,250,850,298,678)",1,"두산에너빌리티의 단일판매·공급계약 중 최대 계약금액은 4,928,968,079,043원이며, 한전기술의 단일판매·공급계약 중 최대 계약금액은 1,250,850,298,678원입니다. 따라서 최대 계약금액이 더 큰 기업은 두산에너빌리티입니다.  근거: report_id(exchange_20251216801147), report_id(exchange_20251212801320)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,7.54,417.8,124.1,905.5,0.1,3516.0,109.6,0.1,0.4,2573.3,7542.1,0.0,2
S012,"현대건설과 삼성E&A 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대건설 (현대건설 4,390,170,544,000 vs 삼성E&A 2,897,903,803,942)",1,"▶ 현대건설 계약금액 최대값: 4,390,170,544,000   ▶ 삼성E&A 계약금액 최대값: 2,897,903,803,942    현대건설의 최대 계약금액은 4,390,170,544,000원이며, 삼성E&A의 최대 계약금액은 2,897,903,803,942원입니다. 따라서 최대 계약금액이 더 큰 기업은 현대건설입니다.  근거: FACT(report_id: exchange_20250915800004, report_id: exchange_20231006800347)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,10.04,329.1,120.9,90.8,0.1,6541.9,269.3,0.1,0.4,2952.4,10041.5,0.0,2
S013,"현대글로비스와 HMM 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대글로비스 (현대글로비스 3,365,500,000,000 vs HMM 1,282,363,356,560)",1,"현대글로비스와 HMM 각각의 단일판매·공급계약 중 최대 계약금액은 다음과 같습니다:  - 현대글로비스의 최대 계약금액: 3,365,500,000,000원 (2024년 12월 31일에 체결된 계약) - HMM의 최대 계약금액: 1,282,363,356,560원 (2023년 10월 27일에 체결된 계약)  따라서, 최대 계약금액이 더 큰 기업은 현대글로비스입니다.  근거:  - 현대글로비스 계약금액 최대값: 3,365,500,000,000 [report_id: exchange_20241231800103] - HMM 계약금액 최대값: 1,282,363,356,560 [report_id: exchange_20231027800429]",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,36.92,246.6,101.1,964.4,0.1,1397.4,86.5,0.1,0.4,34202.2,36915.7,0.0,2
S014,"삼성바이오로직스와 셀트리온 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성바이오로직스 (삼성바이오로직스 2,074,694,843,000 vs 셀트리온 423,600,000,000)",1,"삼성바이오로직스의 단일판매·공급계약 중 최대 계약금액은 2,074,694,843,000원이며, 이는 2025년 1월 14일에 공시된 정보입니다. 반면, 셀트리온의 경우 최대 계약금액은 423,600,000,000원으로, 2023년 9월 25일에 공시된 정보입니다. 따라서 최대 계약금액이 더 큰 기업은 삼성바이오로직스입니다.  근거: FACT(report_id: exchange_20250114800022), FACT(report_id: exchange_20230925800006)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,10.13,418.5,114.9,90.5,0.1,6469.2,229.3,0.1,0.4,3031.0,10131.2,0.0,2
S015,LG에너지솔루션이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, LG에너지솔루션이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 다음과 같습니다:  1. **Ford Motor Company와의 전기차 배터리 공급계약**    - 해지일자: 2025년 12월 17일    - 해지금액: 9,603,075,000,000원    - 최근매출액 대비 비율: 28.5%    - 해지 주요 사유: 거래 상대방의 계약 해지 통보     2. **Freudenberg Battery Power Systems, LLC와의 전기차 배터리 공급계약**    - 해지일자: 2025년 12월 26일    - 해지금액: 3,921,711,000,000원    - 최근매출액 대비 비율: 11.6%    - 해지 주요 사유: 계약상대의 배터리 사업 철수로 상호 합의에 의한 계약 해지  위 정보는 LG에너지솔루션의 공시 내용을 바탕으로 작성되었습니다.  근거:  - [EVIDENCE 2]: LG에너지솔루션/단일판매ㆍ공급계약 해지/(2025.12.17)단일판매ㆍ공급계약 해지 - [EVIDENCE 3]: LG에너지솔루션/단일판매ㆍ공급계약 해지/(2025.12.26)단일판매ㆍ공급계약 해지",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,0.0,,,4,0,1,1,0,정답,1,0,0,,answered,1,0,none,closed,lookup,,8.99,89.5,101.0,801.3,0.1,2510.3,0.0,0.1,0.0,5484.5,8992.9,6.2,2
S016,한미약품이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"한미약품이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 ""(주)제넥신과의 코로나19 백신 위탁생산 계약해지 합의""입니다.   해당 계약의 상세 정보는 다음과 같습니다: - 해지금액: 23,419,586,850원 - 최근매출액: 1,075,853,605,008원 - 매출액대비: 2.18% - 계약상대: 주식회사 제넥신 - 계약기간: 2021-05-18부터 2023-02-27까지 - 해지 주요 사유: 계약상대방의 코로나19 백신(GX-19N) 개발 중단 결정 - 해지일자: 2023-02-27  근거: exchange_20230227800485::main::C1",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,3,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,7.86,232.7,91.2,843.1,0.1,2775.2,0.0,0.1,0.0,3912.9,7860.8,5.5,2
S017,삼성중공업이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, 삼성중공업이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 다음과 같습니다:  1. **블록 및 기자재 공급계약**    - 계약 상대: 유럽 지역 선주    - 계약 금액: 2,807,200,000,000원    - 해지 사유: 선주사의 위법한 계약해지    - 해지 일자: 2025년 6월 18일  2. **쇄빙 LNG선 10척에 대한 블록 및 기자재 공급계약**    - 계약 상대: 유럽 지역 선주    - 계약 금액: 2,807,200,000,000원    - 해지 사유: 선주사의 위법한 계약해지    - 해지 일자: 2025년 6월 18일  3. **쇄빙 셔틀탱커 7척에 대한 블록 및 기자재 공급계약**    - 계약 상대: 유라시아 지역 선주    - 계약 금액: 2,045,300,000,000원    - 해지 사유: 선주사의 위법한 계약해지    - 해지 일자: 2025년 6월 18일  4. **원유운반선 1척 공급계약**    - 계약 상대: 오세아니아 지역 선주    - 계약 금액: 114,800,000,000원    - 해지 사유: 선주사의 계약 의무 불이행    - 해지 일자: 2026년 3월 14일  근거",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,3,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,12.93,15.1,93.3,93.7,0.1,6028.9,0.0,0.0,0.0,6693.5,12930.2,5.7,2
S018,한전기술이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, 한전기술이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다.   해지된 계약의 세부 내용은 다음과 같습니다:  - **해지된 계약명**: 논산 바이오매스 발전사업 건설공사 - **해지 사유**: 발주처가 PF(Project Financing) 계약 체결 및 유효한 착수지시서(NTP) 발급 조건을 충족하지 못하여 계약이 해제됨 - **해지 일자**: 2024년 8월 26일  근거: exchange_20240826800108::main::C1",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,0,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,18.15,45.6,94.3,821.9,0.1,3905.3,0.0,0.0,0.0,13277.0,18149.7,5.5,2
S019,한국항공우주가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, 한국항공우주는 체결한 단일판매·공급계약 중 하나가 해지되었습니다. 해지된 계약은 다음과 같습니다:  - **해지된 계약명**: 차세대 중형 민항기 주익 개발 및 공급 계약 - **해지 사유**: 계약상대방(Embraer)의 계약이행 불가에 따른 계약해지 - **해지 일자**: 2023년 9월 26일 - **해지금액**: 4,004,923,296,000원 - **최근매출액 대비 비율**: 156.30%  이 정보는 한국항공우주의 단일판매·공급계약 해지 공시(2023년 9월 26일)에 근거합니다.  근거: exchange_20230926800443::main::C1",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,10.6,220.6,88.5,83.9,0.1,6481.1,0.0,0.1,0.0,3718.4,10598.4,5.7,2
S020,삼성전자가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,,?,아니오 (해지 공시 없음),1,"아니오, 삼성전자가 체결한 단일판매·공급계약 중 이후 해지된 계약은 없습니다.   근거: report_id(exchange_20250731800028), [전수 확인]",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,0.5,1.0,,0,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,2.38,54.2,118.0,866.0,0.0,182.9,0.0,0.0,0.0,1153.5,2379.1,4.5,2
S021,한미반도체가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,,?,아니오 (해지 공시 없음),1,"아니오. 한미반도체의 공시 60건 전체를 확인한 결과, 단일판매·공급계약 중 해지된 계약은 존재하지 않습니다.   근거: [전수 확인]",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,0.0,,,0,0,1,1,0,정답,1,0,0,,answered,1,0,none,closed,lookup,,4.35,27.1,75.9,834.9,0.1,1742.5,0.0,0.1,0.0,1663.5,4350.4,6.4,2
