id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,unit_stated,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
S001,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"224,787,773,988,054",2,"삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 **236,396,657,259,591원** 입니다.  근거: report_id(major_20250218001596), report_id(major_20241118000328)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,1,1,1,1,0,1,정답,1,1,1,,answered,1,0,none,closed,lookup,,12.44,1130.8,5052.9,558.2,0.1,1003.0,94.5,1.3,0.3,3831.1,12441.6,769.5,1
S002,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"60,787,169,065,155",2,"현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 다음과 같습니다:  - 2026년 1월 29일 공시: 69,223,018,818,275원 - 2024년 11월 27일 공시: 60,787,169,065,155원  질문에 시점이 명시되지 않아 해당하는 공시를 모두 제시합니다.  근거: report_id(major_20260129000336), report_id(major_20241127000199)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,1,정답,1,1,1,,answered,1,0,none,closed,lookup,,9.62,267.7,229.3,330.3,0.0,4846.4,38.8,1.1,0.2,3941.3,9618.1,0.0,1
S003,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"44,798,302,492,788",1,"44,798,302,492,788원",1,1,1,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,0.0,,자기주식취득금액한도,1,1,1,1,0,1,정답,1,0,0,,answered,1,0,none,closed,lookup,,5.05,449.9,420.2,412.8,0.0,1069.2,26.1,3.1,0.5,2692.5,5050.7,0.0,1
S004,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"23,823,475,847,161",4,,0,0,0,value,1,0,0,,,0,0,0,0,0,0,,,0.0,,,0,0,0,0,0,,검색실패,0,0,0,,error,0,0,,,,"HCXError: HCX API 오류 400: {""status"":{""code"":""40001"",""message"":""Invalid parameter: thinking. Please refer to API documentation ensure all parameter values, types, and formats are correct""},""result"":null}",76.56,,,,,,,,,,,,0
S005,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,,?,"5,296,200,000,000",3,"SK하이닉스의 신규시설투자등에 기재된 투자금액은 다음과 같습니다:  - 2026년 2월 25일 공시: 21,608,100,000,000원 - 2024년 7월 26일 공시: 9,411,500,000,000원 - 2024년 4월 24일 공시: 5,296,200,000,000원  위 금액들은 각각의 공시일에 해당하는 투자 계획을 나타냅니다.  근거: exchange_20260225801974, exchange_20240726800615, exchange_20240424800596",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.3333,,3,1,1,1,0,1,정답,1,1,1,,answered,1,0,none,closed,lookup,,6.77,443.6,391.9,307.8,0.0,655.1,31.4,6.1,0.1,4958.6,6767.1,0.0,1
S006,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,,?,"4,405,197,480,000",1,"HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 **4,405,197,480,000원**입니다.   근거: report_id(major_20250814003240), ...",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,1,정답,1,1,1,,answered,1,0,none,closed,lookup,,4.07,175.8,145.3,335.2,0.0,458.0,23.5,0.0,0.1,2957.5,4072.8,0.0,1
S007,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)",1,"삼성전자의 최대 계약금액은 **22,764,764,160,000원**이며, 한미반도체의 최대 계약금액은 **149,919,000,000원**입니다. 따라서 삼성전자의 계약금액이 더 큽니다.   근거: exchange_20250731800028, exchange_20240607800056",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,1,정답,1,1,1,,answered,1,0,none,closed,compare,,7.3,298.0,215.8,717.2,0.0,1700.8,61.4,3.6,0.3,4350.1,7296.0,0.0,2
S008,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)",1,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 **LG에너지솔루션의 9,603,075,000,000원**이며, 따라서 더 큰 쪽은 **LG에너지솔루션**입니다.  근거: exchange_20251217800853, exchange_20250314800002, exchange_20250730800046, exchange_20251226800767, exchange_20251208800031",0,0,0,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.4,,1,0,1,1,0,1,답변실패,1,1,1,,answered,1,0,none,closed,compare,,69.17,727.6,297.2,746.8,0.0,2710.7,47.5,2.8,2.7,64671.1,69164.2,0.0,2
S009,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)",1,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 현대로템이 더 큽니다. 현대로템의 최대 계약금액은 **8,981,406,673,148원**이며, 이는 공시일 2025년 8월 4일의 계약입니다. 반면, LIG디펜스앤에어로스페이스의 최대 계약금액은 **4,339,821,003,649원**으로, 공시일 2024년 2월 7일의 계약입니다. 따라서, 현대로템의 계약금액이 LIG디펜스앤에어로스페이스보다 **4,641,585,669,499원** 더 큽니다.  근거: exchange_20250804800039, exchange_20240207800065",0,0,0,compare_no_verdict,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,3,0,0,0,0,1,검색실패,1,1,1,,answered,1,0,none,closed,compare,,19.42,596.8,501.7,127.0,0.1,9973.5,264.5,4.0,0.3,8209.4,19418.0,0.0,2
S010,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)",1,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 **HD현대중공업이 5,251,100,000,000원으로 더 큽니다**. 이는 삼성중공업의 최대 계약금액인 4,571,600,000,000원과 비교했을 때 **679,500,000,000원 더 큰 금액**입니다.   근거: exchange_20231026800085, exchange_20240402800735",0,0,0,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,3,0,0,0,0,1,검색실패,1,1,1,,answered,1,0,none,closed,compare,,15.13,555.6,525.6,105.3,0.1,10082.5,296.1,2.8,0.3,3846.1,15128.7,0.0,2
