id,query,company,doc_group,gold,n_gold,n_gold_docs,evidence_hit,answer_ceiling,context_recall,context_precision,context_ap,mrr,ndcg_at_10,first_gold_rank,label,elapsed_sec
1,현대모비스 주요사항보고서(자기주식취득결정) 순자산액 얼마야?,현대모비스,major,"27,211,951,962,825",3,4,1,1,1.0,0.08,1.0,1.0,1.0,1,상한도달,1.983
2,현대모비스의 주요사항보고서(자기주식취득결정)에서 직전사업연도까지적립된자본준비금과이익준비금의합계액 알려줘,현대모비스,major,"927,076,099,325",3,3,1,1,1.0,0.045,0.6389,0.5,0.7328,2,상한도달,0.159
3,현대모비스 대통령령이정하는미실현이익이(가) 어떻게 돼?,현대모비스,major,"97,386,132,145",3,3,1,1,1.0,0.015,0.1833,0.25,0.2021,4,상한도달,0.148
4,현대모비스 주요사항보고서(자기주식취득결정) 소계 얼마야?,현대모비스,major,"25,696,393,126,355",3,3,1,1,1.0,0.06,0.8056,1.0,0.906,1,상한도달,0.145
5,현대모비스의 주요사항보고서(자기주식취득결정)에서 직전사업연도말이후자기주식취득금액 알려줘,현대모비스,major,"162,989,550,770",3,3,1,1,1.0,0.06,0.6389,0.5,0.7328,2,상한도달,0.158
6,현대모비스 직전사업연도말이후정기주주총회에서결의된이익배당금액및관련이익준비금이(가) 어떻게 돼?,현대모비스,major,"316,206,358,200",3,3,1,1,0.6667,0.01,0.0229,0.0278,0.0,36,상한도달,0.141
7,현대모비스 주요사항보고서(자기주식취득결정) 자기주식취득금액한도 얼마야?,현대모비스,major,"25,237,245,842,508",3,3,1,1,1.0,0.06,0.8056,1.0,0.906,1,상한도달,0.142
8,셀트리온의 주요사항보고서(자기주식취득결정)에서 직전사업연도말이후자기주식취득금액 알려줘,셀트리온,major,"78,147,033,240",2,2,1,1,1.0,0.035,0.1333,0.1667,0.2184,6,상한도달,0.139
9,셀트리온 자기주식취득금액한도이(가) 어떻게 돼?,셀트리온,major,"3,864,659,487,041",2,2,1,1,1.0,0.03,0.5588,1.0,0.6131,1,상한도달,0.125
10,현대모비스 주요사항보고서(자기주식취득결정) 직전사업연도말이후이사회에서결의된분기ㆍ중간배당금액및관련이익준비금 얼마야?,현대모비스,major,"90,012,617,000",2,2,1,1,1.0,0.02,0.5833,0.5,0.6934,2,상한도달,0.153
11,현대모비스의 주요사항보고서(자기주식취득결정)에서 직전사업연도말이후자기주식처분시처분주식의취득원가 알려줘,현대모비스,major,"110,061,242,123",2,2,1,1,1.0,0.04,0.4167,0.3333,0.5706,3,상한도달,0.184
12,시프트업 자기주식취득금액한도이(가) 어떻게 돼?,시프트업,major,"203,164,629,040",2,2,1,1,1.0,0.035,1.0,1.0,1.0,1,상한도달,0.133
13,디앤디파마텍 주요사항보고서(무상증자결정) 보통주식 얼마야?,디앤디파마텍,major,"32,568,957",2,1,1,1,1.0,0.005,1.0,1.0,1.0,1,상한도달,0.134
14,LG씨엔에스의 주요사항보고서(유상증자결정)에서 보통주식 알려줘,LG씨엔에스,major,"9,688,595",2,1,1,1,1.0,0.01,0.5,0.5,0.6309,2,상한도달,0.13
15,셀트리온 순자산액이(가) 어떻게 돼?,셀트리온,major,"17,040,573,155,434",1,3,0,1,0.0,0.0,0.0,0.0,0.0,0,상한도달,0.124
16,셀트리온 주요사항보고서(자기주식취득결정) 자본금의액 얼마야?,셀트리온,major,"220,290,520,000",1,3,1,1,1.0,0.035,0.3452,0.5,0.4525,2,상한도달,0.128
17,셀트리온의 주요사항보고서(자기주식취득결정)에서 직전사업연도까지적립된자본준비금과이익준비금의합계액 알려줘,셀트리온,major,"12,760,948,114,311",1,3,1,1,1.0,0.03,0.6465,1.0,0.7039,1,상한도달,0.14
18,셀트리온 대통령령이정하는미실현이익이(가) 어떻게 돼?,셀트리온,major,"2,563,859,892",1,3,1,1,1.0,0.015,0.4702,1.0,0.6257,1,상한도달,0.119
19,셀트리온 주요사항보고서(자기주식취득결정) 소계 얼마야?,셀트리온,major,"4,056,770,661,231",1,2,1,1,1.0,0.04,0.2436,0.3333,0.3066,3,상한도달,0.159
20,셀트리온의 주요사항보고서(자기주식취득결정)에서 직전사업연도말이후정기주주총회에서결의된이익배당금액및관련이익준비금 알려줘,셀트리온,major,"113,964,140,950",1,2,1,1,1.0,0.02,0.1181,0.125,0.1934,8,상한도달,0.145
21,셀트리온 직전사업연도말이후자기주식처분시처분주식의취득원가이(가) 어떻게 돼?,셀트리온,major,"1,031,296,937,692",1,1,1,1,1.0,0.015,0.0588,0.0588,0.0,17,상한도달,0.134
22,한미반도체 주요사항보고서(자기주식취득신탁계약체결결정) 순자산액 얼마야?,한미반도체,major,"591,752,077,619",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.137
23,한미반도체의 주요사항보고서(자기주식취득신탁계약체결결정)에서 자본금의액 알려줘,한미반도체,major,"12,716,420,500",1,1,1,1,1.0,0.02,1.0,1.0,1.0,1,상한도달,0.133
24,한미반도체 직전사업연도까지적립된자본준비금과이익준비금의합계액이(가) 어떻게 돼?,한미반도체,major,"62,740,283,188",1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,검색실패,0.125
