test_id,source,type,grade,elapsed_sec,question,gold_answers,answer,think_trace
V2-G0040,suite_v2,lookup_form,PASS,26.7,두산로보틱스의 유상증자결정에 기재된 1주당액면가액은 얼마인가?,500,500원   근거: report_id(major_20230823000334),stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['두산로보틱스'] 공시=['주요사항보고서(유상증자결정)'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 4건 | 게이트=answer(sufficient) | elapsed 26.6s
V1-S009,suite_v1,다중조회·비교·연산,PASS,167.4,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?","현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)","▶ 현대로템 계약금액 최대값: 8,981,406,673,148 [report_id: exchange_20250804800039] ▶ LIG디펜스앤에어로스페이스 계약금액 최대값: 4,339,821,003,649 [report_id: exchange_20240207800065]  현대로템의 최대 계약금액은 8,981,406,673,148원이고, LIG디펜스앤에어로스페이스의 최대 계약금액은 4,339,821,003,649원입니다. 따라서 더 큰 계약금액을 가진 기업은 현대로템입니다.  근거: report_id(exchange_20250804800039), report_id(exchange_20240207800065)","stopped_at=answered | hcx=1회 | plan: closed/compare 회사=['현대로템', 'LIG디펜스앤에어로스페이스'] 공시=['단일판매공급계약체결', '단일판매공급계약해지'] 집계=max 버전=latest_only | scope=in_scope | 하위질의 2개 근거 20건 | 게이트=answer(sufficient) | elapsed 167.2s"
AB-ABS-A029,gold_abstention,ambiguous,PASS,0.0,대략 얼마나 증가했어?,,질문의 대상을 특정하기 어렵습니다. 회사명이 필요합니다. 회사명·공시 종류·기간 중 필요한 것을 알려주시면 찾아드리겠습니다.,stopped_at=clarify_gate | hcx=0회 | plan: unknown/calculate 회사=[] 공시=[] 집계=none 버전=latest_only | scope=possibly_scope | elapsed 0.0s
V2-G0044,suite_v2,lookup_form,PASS,25.8,현대글로비스의 2023년 10월 신규시설투자등에 기재된 투자금액은 얼마인가?,"2,492,215,574,520","2,492,215,574,520 원  근거: report_id(exchange_20231026800363)",stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['현대글로비스'] 공시=['신규시설투자등'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 1건 | 게이트=answer(sufficient) | elapsed 25.8s
AB-ABS-N032,gold_abstention,no_answer_in_doc,PASS,196.4,현대자동차의 2023년 5월 9일 대량보유보고서에 기재된 자산총계는 얼마인가?,,필수 항목(자산총계)을 공시 근거에서 확인할 수 없어 답변하지 않습니다.,stopped_at=abstention_gate | hcx=0회 | plan: closed/lookup 회사=['현대자동차'] 공시=[] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 8건 | 재검색 2회 | 충분성 미달: 근거에서 확인되지 않은 항목: 자산총계 | 게이트=abstain(required_fields_missing) | elapsed 196.3s
AB-ABS-A010,gold_abstention,ambiguous,PASS,0.1,정정 전후에 무엇이 달라졌는지 비교해줘.,,질문의 대상을 특정하기 어렵습니다. 회사명이 필요합니다. 회사명·공시 종류·기간 중 필요한 것을 알려주시면 찾아드리겠습니다.,stopped_at=clarify_gate | hcx=0회 | plan: open/correction_diff 회사=[] 공시=[] 집계=none 버전=first_and_final | scope=possibly_scope | elapsed 0.0s
V1-S001,suite_v1,검색·정보추출,PASS,29.4,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,"224,787,773,988,054 | 236,396,657,259,591","순자산액은 다음과 같습니다.  - 2024년 11월 18일: 224,787,773,988,054원 - 2025년 2월 18일: 236,396,657,259,591원  근거: report_id(major_20241118000328), report_id(major_20250218001596)",stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['삼성전자'] 공시=['주요사항보고서(자기주식취득결정)'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 8건 | 게이트=answer(sufficient) | elapsed 29.3s
V1-S002,suite_v1,검색·정보추출,PASS,81.5,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,"60,787,169,065,155 | 69,223,018,818,275","현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 다음과 같습니다.  1. 2024년 11월 27일 공시: 60,787,169,065,155원 2. 2026년 1월 29일 공시: 69,223,018,818,275원  질문에 시점이 명시되지 않았으므로 해당되는 모든 공시의 순자산액을 제시하였습니다.  근거: report_id(major_20241127000199), report_id(major_20260129000336)",stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['현대자동차'] 공시=['주요사항보고서(자기주식취득결정)'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 8건 | 게이트=answer(sufficient) | elapsed 81.5s
V1-S003,suite_v1,검색·정보추출,PASS,29.3,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,"44,798,302,492,788","44,798,302,492,788  근거: report_id(major_20240712000097)",stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['POSCO홀딩스'] 공시=['주요사항보고서(자기주식취득결정)'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 8건 | 게이트=answer(sufficient) | elapsed 29.3s
V1-S004,suite_v1,검색·정보추출,PASS,73.8,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,"23,823,475,847,161 | 23,926,907,424,811 | 25,237,245,842,508 | 26,908,231,862,701","현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도는 다음과 같습니다:  - 2023년 7월 26일: 23,926,907,424,811원 - 2024년 2월 16일: 23,823,475,847,161원 - 2025년 2월 13일: 25,237,245,842,508원 - 2025년 7월 25일: 26,908,231,862,701원  근거: report_id(major_20230726000317), report_id(major_20240216001385), report_id(major_20250213001638), report_id(major_20250725000051)",stopped_at=answered | hcx=1회 | plan: closed/lookup 회사=['현대모비스'] 공시=['주요사항보고서(자기주식취득결정)'] 집계=none 버전=latest_only | scope=in_scope | 하위질의 1개 근거 8건 | 게이트=answer(sufficient) | elapsed 73.8s
