id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec
S001,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"224,787,773,988,054",1,"순자산액: 254,330,082,981,146 원   순자산액: 236,396,657,259,591 원   순자산액: 236,396,657,259,591 원   순자산액: 236,396,657,259,591 원   순자산액: 236,396,657,259,591 원   순자산액: 224,787,773,988,054 원    근거: report_id(major_20260318001062), report_id(major_20260129000003), report_id(major_20260107000715), report_id(major_20250708000011), report_id(major_20250218001596), report_id(major_20241118000328)",1,0,1,value,1,1,0,0,1.0,0.0,1.0,0.1667,,3,3,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,32.74
S002,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"60,787,169,065,155",1,"순자산액은 다음과 같습니다.  - 2024년 11월 27일 공시: 60,787,169,065,155원 - 2026년 1월 29일 공시: 69,223,018,818,275원  질문에 시점이 명시되지 않았으므로 해당 공시를 모두 제시합니다.  근거: report_id(major_20241127000199), report_id(major_20260129000336)",1,1,1,value,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,98.21
S003,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"44,798,302,492,788",1,"44,798,302,492,788원   근거: report_id(major_20240712000097)",1,1,1,value,1,0,0,1,0.0,1.0,1.0,1.0,자기주식취득금액한도,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,32.23
S004,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"23,823,475,847,161",1,"현대모비스의 주요사항보고서에 기재된 자기주식 취득금액 한도에 대해 공시별로 정리해 드리겠습니다:  1. 2023년 7월 26일 공시: 23,926,907,424,811원   2. 2024년 2월 16일 공시: 23,823,475,847,161원   3. 2025년 2월 13일 공시: 25,237,245,842,508원   4. 2025년 7월 25일 공시: 26,908,231,862,701원    위의 값들은 각 공시일에 따라 계산된 자기주식 취득금액 한도를 나타냅니다.   근거: report_id(major_20230726000317, major_20240216001385, major_20250213001638, major_20250725000051)",1,0,1,value,1,1,0,0,1.0,0.0,1.0,0.25,,4,2,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,82.57
S005,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,,?,"5,296,200,000,000",1,"투자금액: 21,608,100,000,000원 (2026년 2월 25일 공시), 9,411,500,000,000원 (2024년 7월 26일 공시), 5,296,200,000,000원 (2024년 4월 24일 공시)  근거: report_id(exchange_20260225801974), report_id(exchange_20240726800615), report_id(exchange_20240424800596)",1,0,1,value,1,1,0,0,1.0,0.0,1.0,0.3333,,3,3,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,85.11
S006,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,,?,"4,405,197,480,000",1,"자본금의 액: 4,405,197,480,000 원   근거: report_id(major_20250814003240)",1,1,1,value,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,87.01
S007,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)",1,"삼성전자의 단일판매·공급계약 중 최대 계약금액은 22,764,764,160,000원이고, 한미반도체의 단일판매·공급계약 중 최대 계약금액은 149,919,000,000원입니다. 따라서 삼성전자의 최대 계약금액이 더 큽니다.  근거: report_id(exchange_20250731800028), report_id(exchange_20240607800056)",0,0,1,compare,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,70.99
S008,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)",1,"▶ LG에너지솔루션 계약금액 최대값: 9,603,075,000,000 [report_id: exchange_20251217800853] ▶ 삼성SDI 계약금액 최대값: 437,429,850,083 [report_id: exchange_20250314800002]  두 기업의 최대 계약금액을 비교했을 때, LG에너지솔루션의 최대 계약금액이 삼성SDI보다 큽니다.  근거: report_id(exchange_20251217800853), report_id(exchange_20250314800002)",0,0,1,compare,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,120.69
S009,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)",1,"현대로템과 LIG디펜스앤에어로스페이스의 단일판매·공급계약 중 최대 계약금액은 다음과 같습니다:  - 현대로템의 최대 계약금액: 8,981,406,673,148원 - LIG디펜스앤에어로스페이스의 최대 계약금액: 4,339,821,003,649원  따라서, 최대 계약금액이 더 큰 기업은 현대로템입니다.  근거:  - 현대로템 최대 계약금액: report_id(exchange_20250804800039) - LIG디펜스앤에어로스페이스 최대 계약금액: report_id(exchange_20240207800065)",0,0,1,compare,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,20.46
S010,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)",1,"HD현대중공업의 최대 계약금액은 5,251,100,000,000원이고, 삼성중공업의 최대 계약금액은 4,571,600,000,000원입니다. 따라서 더 큰 계약금액을 가진 기업은 HD현대중공업입니다.  근거: report_id(exchange_20231026800085), report_id(exchange_20240402800735)",0,0,1,compare,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,11.86
