id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,unit_stated,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
G0187,LIG디펜스앤에어로스페이스의 2024년 단일판매ㆍ공급계약체결 공시를 기준으로 주요 내용을 정리해줘.,LIG디펜스앤에어로스페이스,exchange,,0,"LIG디펜스앤에어로스페이스의 2024년 단일판매ㆍ공급계약체결 공시의 주요 내용은 다음과 같습니다:  ### 1. 계약 내역 - **계약금액**: 다양한 계약들이 체결되었으며, 각각의 계약금액은 다음과 같습니다:   - 3,713,490,000,000원 (M-SAM(천궁-II) 수출 계약)   - 4,339,821,003,649원 (사우디向 천궁-Ⅱ 수출)   - 39,865,000,000원 (정찰용무인수상정)   - 100,243,000,000원 (24년 현궁 체계 4차 양산)   - 101,271,381,200원 (KF-21 최초양산 항전장비 7종)   - 155,715,445,600원 (KF-21 최초양산 통합전자전장비 2종)    - **최근매출액**: 대부분의 계약에서 최근매출액은 2,308,571,092,877원으로 보고되었습니다.  - **매출액대비**: 각 계약의 매출액 대비 비율은 다양하며, 예를 들어:   - M-SAM(천궁-II) 수출 계약: 160.86%   - 사우디向 천궁-Ⅱ 수출: 194.11%   - 정찰용무인수상정: 1.73%   - 24년 현궁 체계 4차 양산: 4.34%  - **대규모법인여부**: 모든 계약에서 대규모법인여부",0,0,0,required,1,4,0,0.0,"35,395,538,396 / 1,452,651,352,252 / 2.44 / 2020-11-03",0,0,11,7,0,4,0.6364,0.3636,0.0,0.0,계약(수주)일자 / 계약상대 / 시작일 / 판매공급계약구분,11,0,1,0,0,0,답변실패,1,1,1,,answered,1,0,none,open,summarize,,29.59,1725.2,6534.2,858.1,0.1,4376.8,570.4,2.0,0.7,14597.7,29589.4,924.2,1
G0188,한미약품의 2025년 투자판단관련주요경영사항 공시를 기준으로 주요 내용을 정리해줘.,한미약품,exchange,,0,"한미약품의 2025년 투자판단 관련 주요 경영사항 공시를 기반으로 다음과 같이 정리할 수 있습니다:  ### 1. 당뇨 치료제 HM11260C 개발을 위한 식약처(MFDS) 제3상 임상시험 계획 승인 신청 - **이사회결의일**: 2025년 9월 29일 - **임상시험 제목**: Metformin과 Dapagliflozin으로 조절되지 않는 제2형 당뇨병 환자에서 HM11260C의 유효성과 안전성을 평가하기 위한 다기관, 무작위배정, 이중눈가림, 제3상 임상시험 - **임상시험 단계**: 제3상 - **대상질환**: 제2형 당뇨병 환자 - **신청일 및 승인기관**: 신청일 2025년 9월 29일, 승인기관 한국 식품의약품안전처(MFDS) - **임상시험 신청번호**: 20250174308 - **임상시험 목적**: Metformin과 Dapagliflozin으로 조절되지 않는 제2형 당뇨병 환자에서 HM11260C 병용투여 시 위약 대비 혈당조절 효과가 우월함을 입증하고, 안전성을 비교평가 - **기대효과**: 제2형 당뇨병 환자에서 HM11260C 투여 시의 유효성 및 안전성의 치료적 확증  ### 2. 기술이전 계약 체결 - **이사회결의일**: 202",0,0,1,required,1,1,1,1.0,,0,0,3,1,0,2,0.3333,0.6667,1.0,0.1667,이사회결의일(결정일)또는사실확인일 / 주요내용,13,0,1,1,0,0,정답,1,1,1,,answered,1,0,none,open,summarize,,65.18,5479.9,4917.0,2017.4,0.2,18181.2,436.8,3.5,3.8,34506.8,65175.2,0.0,1
G0189,HD현대중공업의 2024년 단일판매ㆍ공급계약체결 공시를 기준으로 주요 내용을 정리해줘.,HD현대중공업,exchange,,0,"HD현대중공업의 2024년 단일판매ㆍ공급계약체결 공시의 주요 내용은 다음과 같습니다:  ### 1. FPU 1기 공급 계약 - **계약금액**: 1,842,200,000,000원 - **최근매출액**: 9,045,500,000,000원 - **매출액대비**: 20.37% - **대규모법인여부**: 해당 - **계약상대**: 멕시코 소재 원유 개발 업체 - **판매ㆍ공급지역**: 멕시코 - **계약기간**: 2023-07-01 ~ 2027-04-01 - **계약(수주)일자**: 2023-06-30 - **체결계약명**: FPU 1기  ### 2. VLGC 2척 공급 계약 - **계약금액**: 340,300,000,000원 - **최근매출액**: 11,963,900,000,000원 - **매출액대비**: 2.84% - **대규모법인여부**: 해당 - **계약상대**: 아시아 소재 선사 - **판매ㆍ공급지역**: 아시아 - **계약기간**: 2024-11-15 ~ 2027-12-31 - **계약(수주)일자**: 2024-11-15 - **체결계약명**: VLGC 2척  ### 3. 컨테이너선 6척 공급 계약 - **계약금액**: 1,841,600,000,000원 ",0,0,1,required,1,5,5,1.0,,0,0,11,8,0,3,0.7273,0.2727,1.0,0.1,시작일 / 종료일 / 판매공급계약구분,22,0,1,1,0,0,정답,1,1,1,,answered,1,0,none,open,summarize,,66.35,6295.0,11262.6,1659.5,0.2,9471.7,594.1,4.2,8.7,37579.8,66343.3,0.0,1
G0190,우리금융지주의 2023년 투자판단관련주요경영사항 공시를 기준으로 주요 내용을 정리해줘.,우리금융지주,exchange,,0,"우리금융지주의 2023년 투자판단 관련 주요 경영사항을 다음과 같이 정리할 수 있습니다:  1. **우리벤처파트너스(주)와의 주식교환 이사회 승인**    - **이사회결의일**: 2023년 7월 21일    - **주요내용**:       - 2023년 5월 26일에 우리벤처파트너스를 완전자회사로 편입하기 위한 주식교환 계약을 체결하였으며, 2023년 7월 21일 이사회에서 해당 주식교환을 승인함.      - 잔여 일정으로는 주식교환일이 2023년 8월 8일로 예정되어 있고, 우리금융지주 신주상장일은 2023년 8월 28일로 예정됨.     2. **우리종합금융(주)와의 주식교환 이사회 승인**    - **이사회결의일**: 2023년 7월 21일    - **주요내용**:       - 마찬가지로 2023년 5월 26일에 우리종합금융을 완전자회사로 편입하기 위한 주식교환 계약을 체결하였고, 2023년 7월 21일 이사회에서 해당 주식교환을 승인함.      - 잔여 일정으로는 주식교환일이 2023년 8월 8일로 예정되어 있고, 우리금융지주 신주상장일은 2023년 8월 28일로 예정됨.  3. **우리금융지주 주식양수도에 관한 기본협약서 체결(우리금융지주",0,0,1,required,1,1,1,1.0,,0,0,3,0,0,3,0.0,1.0,1.0,0.3333,이사회결의일(결정일)또는사실확인일 / 제목 / 주요내용,2,0,1,1,0,0,정답,1,1,1,,answered,1,0,none,open,summarize,,21.34,3394.4,2069.9,452.3,0.0,4478.0,138.2,1.2,0.1,10932.6,21341.5,0.0,1
G0192,삼성바이오로직스의 2023년 투자판단관련주요경영사항 공시를 기준으로 주요 내용을 정리해줘.,삼성바이오로직스,exchange,,0,"삼성바이오로직스의 2023년 투자판단 관련 주요경영사항 공시의 주요 내용은 다음과 같습니다:  ### 1. 바이오의약품 위탁생산계약 의향서 체결 - **계약 상대방**: Pfizer Ireland Pharmaceuticals - **계약 금액**: 535,004,631,900원 - **의향서 체결일자**: 2023.06.07 - **이사회결의일(결정일)**: 2023-06-07  ### 2. 바이오의약품 위탁생산계약 의향서 체결 (여러 건의 계약) - **계약 상대방**: 유럽 소재 제약사 - **계약 금액**: 다양한 금액 (예: 154,093,728,300원, 91,369,732,137원 등) - **의향서 체결일자**: 2022.04.25, 2021.10.30 등 - **계약기간**: 각 계약마다 다름 (예: 2022.04.25 ~ 2024.03.31, 2021.10.30 ~ 2023.08.31 등)  ### 기타 사항 - **최근사업연도 매출액 대비 비율**: 계약 금액은 당사의 최근사업연도 매출액의 일정 비율에 해당함 (예: 9.38%, 7.84% 등). - **유보기한**: 계약 상대방의 정보는 경영상 비밀유지 사유로 인해 일정 기간 이후 공개될 ",0,0,0,required,1,1,0,0.0,2022-03-30,0,0,3,1,0,2,0.3333,0.6667,1.0,0.125,이사회결의일(결정일)또는사실확인일 / 제목,10,0,1,1,0,0,답변실패,1,1,1,,answered,1,0,none,open,summarize,,27.44,182.7,174.6,364.6,0.0,2868.8,119.0,1.6,0.7,23834.7,27432.6,0.0,1
G0193,OCI홀딩스의 2023년 투자판단관련주요경영사항 공시를 기준으로 주요 내용을 정리해줘.,OCI홀딩스,exchange,,0,"OCI홀딩스의 2023년 투자 판단 관련 주요 경영 사항은 다음과 같습니다:  ### 1. 지주회사 전환 신고에 대한 회신 접수 - **이사회 결의일**: 2023년 12월 21일 - **주요 내용**:   - OCI홀딩스는 공정거래위원회로부터 독점규제 및 공정거래에 관한 법률 제17조 및 동법 시행령 제26조에 따른 지주회사의 요건을 충족하여 지주회사로 전환되었음을 통보받았습니다.   - 지주회사 전환일은 2023년 9월 22일입니다.   - 자회사는 총 10개로, 각각 디씨알이(100%), 부광약품(10.90%), 오씨아이(33.25%), 오씨아이드림(100%), 오씨아이스페셜티(78.07%), 오씨아이에스이(100%), 오씨아이정보통신(100%), 오씨아이파워(100%), 오씨아이페로(50%), 행복도시태양광발전소(40%) 등이 있습니다.   - 손자회사는 다이나세라퓨틱스와 부광메디카로 구성되어 있으며, 각각 부광약품이 98.84%, 100% 소유하고 있습니다.  ### 2. 자금보충확약 제공 - **이사회 결의일**: 2023년 1월 18일 - **주요 내용**:   - OCI홀딩스는 종속회사인 디씨알이와 대주단 간의 대출 계약에 대해 자금보충확약을 ",0,0,1,required,1,1,1,1.0,,0,0,3,0,0,3,0.0,1.0,1.0,0.5,이사회결의일(결정일)또는사실확인일 / 제목 / 주요내용,7,0,1,1,0,0,정답,0,1,0,100,answered,1,0,none,open,summarize,,10.44,211.3,216.9,394.8,0.0,442.9,34.0,1.2,0.3,9168.4,10444.3,0.0,1
G0194,현대건설의 2023년 단일판매ㆍ공급계약체결 공시를 기준으로 주요 내용을 정리해줘.,현대건설,exchange,,0,"현대건설의 2023년 단일판매ㆍ공급계약체결 공시를 기준으로 주요 내용을 다음과 같이 정리하였습니다:  1. **신한울 3,4호기 주설비공사**    - 계약금액: 1,715,754,987,100원    - 최근매출액: 21,239,081,840,150원    - 매출액대비: 8.08%    - 계약상대: 한국수력원자력 주식회사    - 판매ㆍ공급지역: 경북 울진군 일대    - 계약기간: 2024-04-01부터 2033-10-31까지    - 계약(수주)일자: 2023-12-11  2. **광천동 주택재개발정비사업**    - 계약금액: 1,766,004,439,815원    - 최근매출액: 18,065,533,516,285원    - 매출액대비: 9.78%    - 계약상대: 광천동 주택재개발정비사업조합    - 판매ㆍ공급지역: 광주광역시 서구 *** ***** 일대    - 계약(수주)일자: 2023-02-10  3. **수도권광역급행철도 C노선(GTX-C) 민간투자시설사업**    - 계약금액: 1,226,320,960,000원    - 최근매출액: 21,239,081,840,150원    - 매출액대비: 5.77%    - 계약상대: 지티엑스씨 주식회",0,0,1,required,1,4,4,1.0,,0,0,11,6,0,5,0.5455,0.4545,1.0,0.2,대규모법인여부 / 시작일 / 종료일 / 체결계약명 / 판매공급계약구분,13,0,1,1,0,0,정답,1,1,1,,answered,1,0,none,open,summarize,,18.48,293.0,241.3,390.7,0.0,2223.5,237.7,3.6,0.7,15316.3,18477.8,0.0,1
G0195,LG씨엔에스의 2025년 단일판매ㆍ공급계약체결 공시를 기준으로 주요 내용을 정리해줘.,LG씨엔에스,exchange,,0,"LG씨엔에스의 2025년 단일판매ㆍ공급계약체결 공시를 기준으로 주요 내용을 다음과 같이 정리하였습니다:  ### 1. 클라우드운영실 클라우드 인프라 통합운영 계약 - **계약금액**: 347,462,730,000원   - **최근매출액 대비 비율**: 5.81%   - **계약상대**: LG전자 (계열회사)   - **판매ㆍ공급지역**: 국내   - **계약기간**: 2025-07-01부터 2028-07-31까지   - **계약(수주)일자**: 2025-11-25    ### 2. 25년 N-ERP 확산 계약 (차세대 ERP 구축 통합테스트 및 확산) - **계약금액**: 226,178,000,000원   - **최근매출액 대비 비율**: 3.78%   - **계약상대**: LG전자 (계열회사)   - **판매ㆍ공급지역**: 국내   - **계약기간**: 2025-01-01부터 2026-12-31까지   - **계약(수주)일자**: 2025-12-29    ### 3. 「프로젝트 NEO」계정계 차세대 구축 - **계약금액**: 공개되지 않음   - **계약상대**: NH농협은행   - **판매ㆍ공급지역**: 국내   - **계약기간**: 2026-01-05부",0,0,0,required,1,5,4,0.8,"5,982,627,063,218",0,0,11,6,0,5,0.5455,0.4545,1.0,0.2,대규모법인여부 / 시작일 / 종료일 / 체결계약명 / 판매공급계약구분,6,0,1,1,0,0,답변실패,1,1,1,,answered,1,0,none,open,summarize,,28.65,176.5,161.5,363.0,0.0,572.7,141.9,4.1,0.2,27364.4,28646.3,0.0,1
G0196,한화에어로스페이스의 2026년 단일판매ㆍ공급계약체결 공시를 기준으로 주요 내용을 정리해줘.,한화에어로스페이스,exchange,,0,"한화에어로스페이스의 2026년 단일판매ㆍ공급계약체결 공시의 주요 내용은 다음과 같습니다:  1. **계약(수주)일자**: 2026년 1월 30일      (근거: report_id(exchange_20260202800006))  2. **계약금액**: 1,316,166,122,950원      (근거: report_id(exchange_20260202800006))  3. **계약상대**: 노르웨이 국방물자청(NDMA)      (근거: report_id(exchange_20260202800006))  4. **대규모법인여부**: 해당      (근거: report_id(exchange_20260202800006))  5. **매출액대비**: 11.71%      (근거: report_id(exchange_20260202800006))  6. **시작일**: 2026년 1월 30일      (근거: report_id(exchange_20260202800006))  7. **종료일**: 2029년 7월 30일      (근거: report_id(exchange_20260202800006))  8. **체결계약명**: 천무 다연장로켓 수출사업      (근거: ",0,0,1,required,1,5,5,1.0,,0,0,11,11,0,0,1.0,0.0,1.0,1.0,,0,0,1,1,0,0,정답,1,1,1,,answered,1,0,none,open,summarize,,9.58,424.2,439.8,377.3,0.0,467.2,216.0,1.1,0.1,7857.8,9574.8,0.0,1
G0197,한국항공우주의 2025년 단일판매ㆍ공급계약체결 공시를 기준으로 주요 내용을 정리해줘.,한국항공우주,exchange,,0,"한국항공우주의 2025년 단일판매ㆍ공급계약체결 공시의 주요 내용을 다음과 같이 정리할 수 있습니다:  ### 1. KF-21 최초양산(잔여) 항공기 계약 - **계약금액**: 2,396,990,000,000원 - **최근매출액 대비 비율**: 66% - **계약상대**: 대한민국 방위사업청 - **판매ㆍ공급지역**: 대한민국 - **계약기간**: 2025-06-26 ~ 2028-12-31 - **기타 사항**: 후속군수지원 포함  ### 2. KUH-1계열 PBL 2차 사업 - **계약금액**: 448,604,456,991원 - **최근매출액 대비 비율**: 12.3% - **계약상대**: 방위사업청 - **판매ㆍ공급지역**: 대한민국 - **계약기간**: 2025-10-16 ~ 2030-12-31  ### 3. 필리핀 FA-50 추가 사업 - **계약금액**: 975,278,164,993원 - **최근매출액 대비 비율**: 26.8% - **계약상대**: 필리핀 국방부(DND/AFP) - **판매ㆍ공급지역**: 필리핀 - **계약기간**: 2025-06-03 ~ 2030-06-02  ### 4. T-50계열 항공기 기체 수리부속 PBL(4차) 사업 - **",0,0,0,required,1,5,0,0.0,"119,337,272,727 / 3,633,742,105,840 / 3.28 / 2025-09-10 / 2028-12-15",0,0,11,5,0,6,0.4545,0.5455,0.0,0.0,계약(수주)일자 / 대규모법인여부 / 시작일 / 종료일 / 체결계약명 / 판매공급계약구분,26,0,1,0,0,0,답변실패,1,1,1,,answered,1,0,none,open,summarize,,25.81,165.0,323.8,347.5,0.0,2690.8,136.2,1.0,0.8,22270.3,25803.6,0.0,1
