id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,unit_stated,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec,ms_bm25,ms_dense,ms_sparse,ms_fusion,ms_rerank,ms_facts,ms_expand,ms_process,ms_hcx,ms_total,ms_other,n_searches
S001,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"224,787,773,988,054",2,"순자산액은 두 차례의 정정 공시에 따라 변경되었습니다:  1. **2024년 11월 18일**: 224,787,773,988,054원      (report_id: major_20241118000328)  2. **2025년 2월 18일**: 236,396,657,259,591원      (report_id: major_20250218001596)  질문에 시점이 명시되지 않아 두 공시의 순자산액을 모두 제시합니다.    근거: major_20241118000328, major_20250218001596",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,0,정답,1,1,1,,answered,1,0,low,closed,lookup,,20.39,1442.5,5604.9,957.9,0.1,1748.9,100.9,1.4,0.5,9684.9,20393.4,851.6,1
S002,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"60,787,169,065,155",2,"현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 다음과 같습니다:  - 2026년 1월 29일 공시 기준: 69,223,018,818,275원   - 2024년 11월 27일 공시 기준: 60,787,169,065,155원    근거: report_id(major_20260129000336), report_id(major_20241127000199)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,1,1,1,0,1,정답,1,1,1,,answered,1,0,low,closed,lookup,,15.89,646.0,656.4,525.0,0.2,5333.8,25.6,1.4,0.5,8721.5,15891.7,0.0,1
S003,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"44,798,302,492,788",1,"44,798,302,492,788원    근거: report_id(major_20240712000097)",1,1,1,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,1.0,1.0,자기주식취득금액한도,1,1,1,1,0,1,정답,1,1,1,,answered,1,0,low,closed,lookup,,12.97,510.7,516.2,397.9,0.0,1101.4,7.6,1.2,0.2,10436.9,12966.7,0.0,1
S004,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"23,823,475,847,161",4,"현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도는 다음과 같습니다:  - 2023년 7월 26일: 23,926,907,424,811원   - 2024년 2월 16일: 23,823,475,847,161원   - 2025년 2월 13일: 25,237,245,842,508원   - 2025년 7월 25일: 26,908,231,862,701원    질문에 시점이 명시되지 않아 모든 해당 공시의 금액을 제시합니다.   근거: report_id(major_20230726000317), major_20240216001385, major_20250213001638, major_20250725000051.",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.25,,4,1,1,1,0,1,정답,0,1,0,20250725000051.,answered,1,0,low,closed,lookup,,15.36,184.4,343.6,361.3,0.0,4402.7,49.9,5.4,0.3,10058.8,15359.8,0.0,1
S005,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,,?,"5,296,200,000,000",3,"투자금액(원)은 다음과 같습니다:   - 21,608,100,000,000원 (2026.02.25 공시)   - 9,411,500,000,000원 (2024.07.26 공시)   - 5,296,200,000,000원 (2024.04.24 공시)    근거: FACT(exchange_20260225801974), FACT(exchange_20240726800615), FACT(exchange_20240424800596)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.3333,,6,1,1,1,0,1,정답,1,1,1,,answered,1,0,low,closed,lookup,,12.59,335.1,179.4,328.0,0.0,473.2,38.9,4.3,0.1,11268.3,12590.2,0.0,1
S006,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,,?,"4,405,197,480,000",1,"HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 **4,405,197,480,000원**입니다.   이는 별도재무제표 기준이며 단위는 원입니다.  근거: report_id(major_20250814003240)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,1,정답,1,1,1,,answered,1,0,low,closed,lookup,,8.33,288.3,396.8,373.5,0.0,652.7,19.7,0.1,0.1,6615.1,8327.9,0.0,1
S007,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)",1,"삼성전자의 최대 계약금액은 **22,764,764,160,000원**(2025년 7월 31일 공시)이며,   한미반도체의 최대 계약금액은 **149,919,000,000원**(2024년 6월 7일 공시)입니다.    삼성전자의 계약금액이 한미반도체보다 **크다**는 것을 알 수 있습니다.    **근거**:   - 삼성전자: report_id(exchange_20250731800028)   - 한미반도체: report_id(exchange_20240607800056)",0,0,0,compare_no_verdict,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,1,답변실패,1,1,1,,answered,1,0,low,closed,compare,,13.82,300.2,422.3,941.3,0.1,1960.0,56.2,4.2,0.9,10179.9,13814.9,0.0,2
S008,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)",1,"LG에너지솔루션의 최대 계약금액은 **9,603,075,000,000원**, 삼성SDI의 최대 계약금액은 **437,429,850,083원**입니다. 따라서 **LG에너지솔루션**이 더 큰 계약금액을 공시했습니다.    근거:   - LG에너지솔루션: [exchange_20251217800853](9,603,075,000,000원), [exchange_20250730800046](5,944,227,336,000원), [exchange_20251226800767](4,082,377,000,000원), [exchange_20251208800031](2,060,100,000,000원)   - 삼성SDI: [exchange_20250314800002](437,429,850,083원)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.4,,2,0,1,1,0,1,정답,1,1,1,,answered,1,0,low,closed,compare,,16.32,785.5,537.1,935.8,0.1,2978.0,33.9,2.6,0.6,11071.8,16316.6,0.0,2
S009,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)",1,"현대로템과 LIG디펜스앤에어로스페이스의 최대 계약금액은 각각 **8,981,406,673,148원**(현대로템)과 **4,339,821,003,649원**(LIG디펜스앤에어로스페이스",0,0,0,compare_no_verdict,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,,,2,0,0,0,0,1,검색실패,1,0,0,,answered,1,0,low,closed,compare,,26.05,1061.9,570.7,135.6,0.1,10492.3,185.8,9.1,0.3,13769.0,26049.8,0.0,2
S010,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)",1,"HD현대중공업의 최대 계약금액은 **5,251,100,000,000원**, 삼성중공업의 최대 계약금액은 **4,571,600,000,000원**입니다.   비교 결과, **HD현대중공업**이 더 큰 계약금액을 보유하고 있습니다.    근거: fact::exchange_20231026800085, fact::exchange_20240402800735",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,1,정답,1,1,1,,answered,1,0,low,closed,compare,,24.99,741.9,532.3,141.9,0.1,10768.2,164.3,3.2,0.8,12783.2,24987.0,0.0,2
S011,"두산에너빌리티와 한전기술 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"두산에너빌리티 (두산에너빌리티 4,928,968,079,043 vs 한전기술 1,250,850,298,678)",1,"두산에너빌리티의 최대 계약금액은 **4,928,968,079,043원**, 한전기술의 최대 계약금액은 **1,250,850,298,678원**입니다.   따라서 **두산에너빌리티**가 더 큰 계약을 맺었습니다.    근거:   - 두산에너빌리티: [exchange_20251216801147](Dukovany 5&6 NSSS Contract, 2025-12-16)   - 한전기술: [exchange_20251212801320]    단위: 원   비교 결과: 두산에너빌리티 > 한전기술 (차이: 3,678,117,780,365원)    ※ FACT 섹션의 계산을 그대로 활용하였습니다.",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,1,정답,1,1,1,,answered,1,0,low,closed,compare,,18.97,1032.0,645.8,1012.9,0.1,6752.8,148.1,3.0,0.5,9504.4,18967.0,0.0,2
